Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_1273,VPWR,li1,592.0200,486.8800,1.799968
FILLER_174_1261,VPWR,li1,588.3400,486.8800,1.799968
FILLER_174_1257,VPWR,li1,584.4300,486.8800,1.799968
FILLER_174_1245,VPWR,li1,580.9800,486.8800,1.799968
FILLER_174_1233,VPWR,li1,575.4600,486.8800,1.799968
FILLER_174_1229,VPWR,li1,571.5500,486.8800,1.799968
FILLER_174_1217,VPWR,li1,568.1000,486.8800,1.799968
FILLER_174_1205,VPWR,li1,562.5800,486.8800,1.799968
FILLER_174_1201,VPWR,li1,558.6700,486.8800,1.799968
FILLER_174_1189,VPWR,li1,555.2200,486.8800,1.799968
FILLER_174_1177,VPWR,li1,549.7000,486.8800,1.799968
FILLER_174_1164,VPWR,li1,543.7200,486.8800,1.799968
FILLER_174_1155,VPWR,li1,537.0500,486.8800,1.799968
FILLER_174_1149,VPWR,li1,535.4400,486.8800,1.799968
FILLER_174_1145,VPWR,li1,532.9100,486.8800,1.799969
FILLER_174_1133,VPWR,li1,529.4600,486.8800,1.799970
FILLER_174_1121,VPWR,li1,523.9400,486.8800,1.799971
FILLER_174_1117,VPWR,li1,520.0300,486.8800,1.799972
FILLER_174_1105,VPWR,li1,516.5800,486.8800,1.799973
FILLER_174_1093,VPWR,li1,511.0600,486.8800,1.799974
FILLER_174_1089,VPWR,li1,507.1500,486.8800,1.799975
FILLER_174_1077,VPWR,li1,503.7000,486.8800,1.799976
FILLER_174_1065,VPWR,li1,498.1800,486.8800,1.799977
FILLER_174_1061,VPWR,li1,494.2700,486.8800,1.799978
FILLER_174_1049,VPWR,li1,490.8200,486.8800,1.799979
FILLER_174_1037,VPWR,li1,485.3000,486.8800,1.799980
FILLER_174_1033,VPWR,li1,481.3900,486.8800,1.799981
FILLER_174_1021,VPWR,li1,477.9400,486.8800,1.799976
FILLER_174_1009,VPWR,li1,472.4200,486.8800,1.799967
FILLER_174_1005,VPWR,li1,468.5100,486.8800,1.799961
FILLER_174_993,VPWR,li1,465.0600,486.8800,1.799955
FILLER_174_981,VPWR,li1,459.5400,486.8800,1.799946
FILLER_174_977,VPWR,li1,455.6300,486.8800,1.799940
FILLER_174_965,VPWR,li1,452.1800,486.8800,1.799934
FILLER_174_953,VPWR,li1,446.6600,486.8800,1.799926
FILLER_174_949,VPWR,li1,442.7500,486.8800,1.799919
FILLER_174_937,VPWR,li1,439.3000,486.8800,1.799914
FILLER_174_925,VPWR,li1,433.7800,486.8800,1.799905
FILLER_174_921,VPWR,li1,429.8700,486.8800,1.799899
FILLER_174_909,VPWR,li1,426.4200,486.8800,1.799893
FILLER_174_897,VPWR,li1,420.9000,486.8800,1.799884
FILLER_174_893,VPWR,li1,416.9900,486.8800,1.799878
FILLER_174_881,VPWR,li1,413.5400,486.8800,1.799872
FILLER_174_869,VPWR,li1,408.0200,486.8800,1.799863
FILLER_174_865,VPWR,li1,404.1100,486.8800,1.799857
FILLER_174_853,VPWR,li1,400.6600,486.8800,1.799852
FILLER_174_841,VPWR,li1,395.1400,486.8800,1.799843
FILLER_174_837,VPWR,li1,391.2300,486.8800,1.799836
FILLER_174_825,VPWR,li1,387.7800,486.8800,1.799831
FILLER_174_813,VPWR,li1,382.2600,486.8800,1.799822
FILLER_174_810,VPWR,li1,378.5800,486.8800,1.799816
FILLER_174_798,VPWR,li1,375.3600,486.8800,1.799811
FILLER_174_793,VPWR,li1,370.5300,486.8800,1.799803
FILLER_174_785,VPWR,li1,368.4600,486.8800,1.799800
FILLER_174_783,VPWR,li1,365.9300,486.8800,1.799793
FILLER_174_777,VPWR,li1,364.3200,486.8800,1.799793
FILLER_174_770,VPWR,li1,360.4100,486.8800,1.799787
FILLER_174_765,VPWR,li1,357.6500,486.8800,1.799782
FILLER_174_757,VPWR,li1,355.5800,486.8800,1.799779
FILLER_174_749,VPWR,li1,350.7500,486.8800,1.799771
FILLER_174_721,VPWR,li1,337.4100,486.8800,1.799824
FILLER_174_713,VPWR,li1,334.4200,486.8800,1.799836
FILLER_174_701,VPWR,li1,330.7400,486.8800,1.799861
FILLER_174_693,VPWR,li1,324.9900,486.8800,1.799867
FILLER_174_687,VPWR,li1,322.0000,486.8800,1.799851
FILLER_174_679,VPWR,li1,319.7000,486.8800,1.799839
FILLER_174_673,VPWR,li1,315.5600,486.8800,1.799817
FILLER_174_667,VPWR,li1,312.5700,486.8800,1.799796
FILLER_174_663,VPWR,li1,311.4200,486.8800,1.799796
