net,length_um
clknet_2_3_0_clk,907.57µm
net106,827.81µm
tcout\[3\],823.31µm
tcout\[7\],743.12µm
net105,740.49µm
net104,734.88µm
tcout\[6\],705.31µm
clk,687.34µm
net103,633.06µm
clknet_2_0_0_clk,624.13µm
net102,502.485µm
clknet_2_1_0_clk,466.825µm
clknet_0_clk,411.48µm
net99,274.94µm
net68,271.72µm
net86,271.5µm
net77,271.1µm
net85,269.86µm
net79,269.14µm
net91,268.46µm
net72,267.34µm
net90,267.08µm
net92,266.88µm
net69,266.72µm
net89,266.7µm
net84,266.58µm
net81,266.5µm
net78,266.08µm
net82,266.04µm
net80,265.04µm
net97,264.44µm
net70,264.42µm
net73,264.32µm
net71,264.12µm
net87,263.415µm
net88,263.08µm
net74,262.94µm
net76,262.74µm
net98,262.6µm
net96,261.82µm
net75,261.36µm
net93,261.18µm
net95,261.1µm
net94,259.52µm
net83,256.04µm
tcout\[5\],237.4µm
net16,236.58µm
clknet_2_2_0_clk,230µm
net15,228.02µm
net11,208.155µm
net12,203.695µm
net14,202.95µm
net13,201.69µm
net32,195.67µm
net33,188.9µm
net109,187.14µm
tcout\[2\],172.51µm
net31,171.96µm
net29,171.58µm
net108,170.22µm
net101,166.04µm
net30,164.86µm
sine_out_temp0\[0\],161.655µm
net27,155.81µm
sine_out_temp1\[15\],155.115µm
net28,153.53µm
sine_out_temp0\[1\],152.535µm
tcout\[8\],149.78µm
sine_out_temp0\[2\],149.475µm
sine_out_temp1\[14\],148.145µm
_006_,146.98µm
net1,145.61µm
net57,145.54µm
_004_,141.94µm
sine_out_temp0\[3\],141.44µm
_009_,141.1µm
net58,140.32µm
net26,139.8µm
sine_out_temp1\[13\],139.035µm
_008_,137.48µm
sine_out_temp0\[4\],137.11µm
_002_,136.785µm
_012_,136.52µm
tcout\[4\],136.52µm
_013_,135.56µm
_014_,135.48µm
sine_out_temp1\[12\],135.185µm
net19,135.11µm
_010_,134.74µm
_015_,134.14µm
_000_,133.78µm
sine_out_temp0\[5\],133.225µm
net55,133.22µm
sine_out_temp1\[10\],133.155µm
_005_,132.84µm
_001_,132.72µm
sine_out_temp1\[11\],132.715µm
net56,132.44µm
_007_,132.42µm
sine_out_temp0\[6\],132.245µm
sine_out_temp0\[8\],131.665µm
sine_out_temp0\[7\],130.985µm
_011_,130.84µm
sine_out_temp1\[9\],129.51µm
net7,129.26µm
_003_,128.9µm
net8,128.68µm
net2,126.75µm
net6,126.25µm
sine_out_temp1\[8\],125µm
sine_out_temp1\[7\],124.795µm
sine_out_temp0\[9\],124.575µm
_056_,124.24µm
net64,123.7µm
sine_out_temp1\[6\],122.525µm
sine_out_temp0\[10\],122.32µm
net67,122.32µm
sine_out_temp0\[12\],120.975µm
sine_out_temp0\[11\],120.27µm
net60,120.18µm
net63,120.175µm
net54,119.88µm
net66,119.38µm
net59,119.04µm
net51,118.62µm
net53,118.46µm
sine_out_temp1\[5\],118.205µm
net62,117.24µm
sine_out_temp1\[4\],116.835µm
sine_out_temp1\[3\],116.375µm
net65,116.08µm
net52,112.22µm
net5,111.91µm
sine_out_temp0\[13\],110.76µm
net107,110.42µm
sine_out_temp0\[14\],109.705µm
net61,109.04µm
sine_out_temp1\[2\],108.09µm
net3,106.255µm
_052_,103.98µm
net4,101.975µm
sine_out_temp0\[15\],101.385µm
sine_out_temp1\[1\],99.675µm
net100,90.18µm
sine_out_temp1\[0\],89.17µm
net18,87.515µm
tcout\[0\],71.5µm
tcout\[1\],70.4µm
_057_,69.48µm
net37,49.83µm
net17,44.405µm
net45,39.31µm
net23,39.27µm
net41,39.15µm
net10,38.95µm
net9,38.86µm
net50,38.56µm
net40,38.29µm
net22,38.1µm
net44,38.1µm
net48,37.97µm
net49,37.91µm
net36,37.73µm
net39,37.73µm
net21,37.66µm
net25,37.64µm
net47,37.64µm
net24,37.62µm
net43,37.62µm
net46,37.58µm
net42,37.52µm
net20,37.48µm
net34,37.38µm
net35,37.27µm
net38,37.27µm
_050_,37.06µm
_054_,20.56µm
_051_,19.28µm
_024_,16.02µm
_018_,14.54µm
csb01,13.78µm
_034_,13.77µm
net110,13.68µm
net111,13.52µm
_053_,13.38µm
_058_,13.26µm
_043_,12.31µm
_039_,12.29µm
addr01[2],11.6µm
addr01[5],11.56µm
sine_out[13],11.26µm
addr01[3],11.22µm
addr01[6],11.22µm
addr01[7],11.22µm
addr00[5],11.15µm
addr01[4],10.895µm
_017_,10.72µm
addr00[6],10.47µm
_055_,10.12µm
_042_,9.93µm
_033_,9.91µm
sine_out[14],9.76µm
_038_,9.7µm
addr01[0],9.64µm
addr01[1],9.64µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[13],9.64µm
din01[11],9.64µm
din01[12],9.64µm
din01[13],9.64µm
din01[14],9.64µm
din01[15],9.64µm
din01[1],9.64µm
din01[2],9.64µm
din01[3],9.64µm
din01[4],9.64µm
din01[7],9.64µm
din01[8],9.64µm
din01[9],9.64µm
addr00[1],9.6µm
din00[0],9.07µm
din00[4],9.07µm
_016_,8.98µm
din00[5],8.97µm
sine_out[15],8.96µm
sine_out[1],8.96µm
sine_out[2],8.96µm
sine_out[3],8.96µm
sine_out[4],8.96µm
sine_out[5],8.96µm
sine_out[7],8.96µm
sine_out[8],8.96µm
sine_out[9],8.96µm
_030_,8.82µm
din00[1],8.73µm
din00[14],8.72µm
din00[15],8.72µm
din00[9],8.72µm
din01[0],8.72µm
din01[10],8.72µm
din01[5],8.72µm
din01[6],8.72µm
rst,8.72µm
_035_,8.71µm
sine_out[0],8.5µm
sine_out[10],8.5µm
sine_out[11],8.5µm
sine_out[12],8.5µm
sine_out[6],8.5µm
din00[6],8.39µm
addr00[7],8.25µm
din00[7],8.05µm
addr00[0],7.71µm
addr00[4],7.35µm
din00[2],7.03µm
din00[3],7.03µm
din00[8],7.03µm
csb00,7.01µm
_021_,6.84µm
_040_,6.41µm
addr00[2],5.97µm
addr00[3],5.97µm
_020_,5.94µm
_044_,5.45µm
_045_,5.45µm
_023_,5.34µm
_041_,5.1µm
_027_,4.61µm
_036_,4.07µm
_037_,4.07µm
_028_,3.9µm
_046_,3.61µm
_049_,3.23µm
_019_,2.76µm
_047_,2.69µm
_032_,2.23µm
_048_,2.23µm
_022_,2.18µm
_026_,2.16µm
_025_,2.04µm
_031_,1.75µm
_029_,1.36µm
