net,length_um
clknet_1_0__leaf_clk,726.31µm
clk,500.19µm
net20,490.2µm
clknet_1_1__leaf_clk,348.23µm
net19,297.795µm
net18,228.48µm
tcout\[5\],182.105µm
tcout\[6\],178.055µm
tcout\[0\],177.48µm
tcout\[1\],177.09µm
tcout\[7\],150.67µm
tcout\[2\],149.29µm
_032_,144.31µm
sine_out_temp\[2\],133.975µm
sine_out_temp\[4\],128.23µm
sine_out_temp\[3\],127.855µm
sine_out_temp\[5\],126.85µm
sine_out_temp\[6\],122.745µm
sine_out_temp\[12\],122.61µm
net11,121.84µm
net14,121.84µm
net16,120.5µm
net12,120.04µm
clknet_0_clk,119.82µm
net3,119.58µm
sine_out_temp\[7\],119.49µm
net15,119.12µm
net17,119.12µm
net10,118.66µm
net13,118.66µm
sine_out_temp\[8\],117.055µm
sine_out_temp\[11\],116.405µm
net4,116.36µm
sine_out_temp\[9\],115.545µm
tcout\[3\],114.37µm
net9,113.6µm
sine_out_temp\[10\],111.875µm
sine_out_temp\[14\],106.315µm
net5,103.08µm
sine_out_temp\[13\],101.75µm
net2,99.1µm
net6,97.92µm
tcout\[4\],95.55µm
net7,93.82µm
sine_out_temp\[15\],92.42µm
net8,83.58µm
sine_out_temp\[1\],57.305µm
sine_out_temp\[0\],55.245µm
_026_,37.39µm
_027_,34.31µm
_028_,28.73µm
_033_,28.34µm
_029_,26.11µm
_030_,25.97µm
_037_,25.78µm
_031_,24.59µm
_023_,22.85µm
_024_,22.85µm
_009_,22.29µm
_010_,22.29µm
_025_,22.27µm
_008_,21.97µm
_012_,20.91µm
_022_,20.23µm
_021_,20.2µm
_011_,18.61µm
addr0[7],18.34µm
addr0[5],18.2µm
addr0[3],18.165µm
din0[1],17.83µm
din0[12],17.67µm
din0[6],17.63µm
_003_,17.5µm
din0[11],17.38µm
din0[7],17.38µm
addr0[6],17.32µm
csb0,17.315µm
din0[0],17.25µm
din0[15],17.25µm
din0[2],17.23µm
din0[13],17.07µm
din0[5],17.03µm
din0[8],16.92µm
din0[10],16.9µm
addr0[4],16.78µm
addr0[1],16.74µm
din0[3],16.72µm
addr0[2],16.715µm
_004_,16.68µm
addr0[0],16.55µm
din0[14],16.55µm
din0[4],16.55µm
din0[9],16.55µm
_035_,15.38µm
_007_,13.56µm
net21,12.68µm
_006_,12.62µm
_016_,12.43µm
_005_,12.08µm
_019_,11.97µm
_036_,11.88µm
sine_out[5],11.24µm
_020_,10.83µm
sine_out[4],10.32µm
sine_out[8],10.32µm
sine_out[9],10.32µm
sine_out[10],9.86µm
sine_out[2],9.86µm
sine_out[3],9.86µm
sine_out[6],9.86µm
sine_out[7],9.86µm
_017_,9.14µm
net26,8.74µm
_002_,8.6µm
net1,7.58µm
_014_,7.44µm
net24,7.18µm
rst,5.97µm
_015_,5.79µm
sine_out[0],5.75µm
sine_out[14],5.75µm
_013_,5.6µm
sine_out[12],5.07µm
sine_out[1],5.07µm
net22,4.42µm
sine_out[11],4.39µm
sine_out[13],4.39µm
sine_out[15],4.39µm
_018_,3.59µm
_000_,3.08µm
_038_,2.98µm
_034_,2.3µm
_001_,2.16µm
net25,1.84µm
net23,0.46µm
