net,length_um
net71,742.48µm
net70,722.6µm
net69,713.81µm
clknet_0_clk,682.98µm
net68,676.14µm
net72,670.5µm
net82,655.56µm
net81,652.8µm
net73,644.38µm
net80,631.88µm
clk,621.04µm
net74,619.22µm
tcout\[0\],608.585µm
tcout\[1\],599.02µm
net79,587.02µm
net75,581.72µm
net76,574.82µm
net78,566.78µm
sine_out_temp1\[0\],555.15µm
net77,546.755µm
tcout\[7\],544.51µm
tcout\[5\],538.65µm
tcout\[6\],518.07µm
clknet_2_2__leaf_clk,503.86µm
clknet_2_0__leaf_clk,490.25µm
tcout\[4\],477.17µm
tcout\[2\],474.505µm
tcout\[3\],457.61µm
net85,385.695µm
clknet_2_3__leaf_clk,383.94µm
net83,257.18µm
net41,227.98µm
net39,227.34µm
net50,225.49µm
net49,216.66µm
net40,215.59µm
net38,215µm
clknet_2_1__leaf_clk,210.18µm
net37,208.34µm
net47,194.13µm
net36,192.91µm
net45,190.82µm
net46,186.56µm
net7,184.94µm
net8,179.22µm
net9,176.26µm
net48,174.73µm
net43,171.37µm
net6,169.12µm
net42,166.84µm
net5,162.49µm
net4,161.935µm
net3,158.635µm
net29,157.11µm
net28,154.38µm
net44,152.99µm
net35,149.76µm
net27,146.63µm
net84,146.34µm
net63,143.08µm
net19,142.15µm
net26,140.46µm
net1,134.73µm
net10,133.31µm
net62,133.04µm
net60,131.64µm
net61,129.62µm
net65,127.5µm
net64,127.2µm
net2,126.75µm
net59,125.12µm
sine_out_temp0\[9\],124.505µm
sine_out_temp0\[7\],122.805µm
sine_out_temp0\[8\],120.745µm
sine_out_temp0\[6\],119.595µm
_012_,118.38µm
net66,116.3µm
sine_out_temp0\[10\],112.7µm
net53,111.82µm
sine_out_temp0\[14\],111.585µm
_013_,111.12µm
net54,109.88µm
sine_out_temp0\[11\],109.58µm
sine_out_temp0\[12\],107.985µm
sine_out_temp0\[13\],107.86µm
net52,106.18µm
sine_out_temp0\[15\],104.035µm
_014_,103.665µm
net67,103.58µm
sine_out_temp0\[2\],102.865µm
_015_,102.82µm
sine_out_temp0\[4\],102.74µm
sine_out_temp0\[3\],102.33µm
sine_out_temp0\[1\],101.195µm
_001_,99.915µm
sine_out_temp0\[0\],98.755µm
sine_out_temp0\[5\],98.265µm
net51,96.88µm
net55,93.08µm
net56,91.22µm
net17,89.795µm
net57,86.66µm
_009_,86.28µm
_002_,85.08µm
tcout\[8\],82.5µm
_011_,81.28µm
_057_,81.2µm
_004_,77.56µm
_003_,75.86µm
_010_,75.68µm
_006_,71.025µm
_005_,68.9µm
_008_,67.86µm
net58,65.62µm
_007_,57.78µm
_052_,55.52µm
_000_,47.29µm
net18,44.945µm
net13,43.45µm
net12,43.425µm
_042_,42.88µm
net11,42.645µm
net16,42.57µm
_050_,42.54µm
net14,42.09µm
net15,41.99µm
net23,39.27µm
net33,38.99µm
net32,38.73µm
_045_,38.6µm
net22,38.1µm
net31,37.79µm
net30,37.73µm
net21,37.66µm
net25,37.64µm
net24,37.62µm
net20,37.48µm
net34,37.38µm
_047_,36.65µm
_044_,34.05µm
_046_,31.82µm
_043_,29.37µm
sine_out_temp1\[6\],24.855µm
sine_out_temp1\[7\],23.415µm
sine_out_temp1\[8\],22.895µm
sine_out_temp1\[9\],22.835µm
sine_out_temp1\[10\],22.67µm
_024_,21.92µm
sine_out_temp1\[12\],19.895µm
sine_out_temp1\[11\],19.45µm
_032_,19.18µm
sine_out_temp1\[13\],18.53µm
sine_out_temp1\[14\],17.935µm
_058_,17.7µm
_018_,17.42µm
sine_out_temp1\[4\],16.32µm
sine_out_temp1\[5\],16.32µm
_031_,15.92µm
sine_out_temp1\[15\],15.575µm
_039_,15.51µm
sine_out_temp1\[3\],15.245µm
_037_,14.53µm
sine_out_temp1\[2\],14.265µm
sine_out_temp1\[1\],14.205µm
_051_,13.84µm
net86,13.68µm
_034_,13.09µm
net87,12.52µm
_028_,11.85µm
_022_,11.72µm
_036_,11.32µm
_029_,11.25µm
_030_,10.93µm
_053_,10.74µm
_021_,10.32µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[13],9.64µm
din00[5],9.64µm
din00[6],9.64µm
din00[7],9.64µm
din00[8],9.64µm
addr00[1],9.6µm
addr00[4],9.07µm
addr01[0],9.07µm
din00[2],9.07µm
din01[13],9.07µm
din01[2],9.07µm
din01[7],9.07µm
_054_,9.04µm
din00[4],8.97µm
din00[3],8.73µm
din00[14],8.72µm
din00[15],8.72µm
din00[9],8.72µm
addr00[0],8.39µm
addr00[2],8.39µm
din01[0],8.39µm
din01[4],8.39µm
din01[3],8.05µm
din01[5],8.05µm
_035_,7.97µm
addr00[5],7.71µm
addr00[7],7.71µm
din01[14],7.71µm
din01[1],7.71µm
csb01,7.35µm
_040_,7.32µm
sine_out[9],7.23µm
rst,7.13µm
_049_,7.05µm
addr00[3],7.03µm
addr00[6],7.03µm
din00[0],7.03µm
din00[1],7.03µm
din01[10],7.03µm
din01[11],7.03µm
din01[12],7.03µm
din01[15],7.03µm
din01[8],7.03µm
din01[9],7.03µm
addr01[5],7.01µm
csb00,6.91µm
din01[6],6.69µm
addr01[3],6.67µm
addr01[7],6.67µm
addr01[1],6.43µm
_025_,6.37µm
sine_out[13],6.21µm
sine_out[8],6.21µm
_023_,5.96µm
_038_,5.77µm
sine_out[4],5.75µm
addr01[2],5.65µm
addr01[6],5.65µm
sine_out[10],5.53µm
sine_out[12],5.53µm
sine_out[0],5.41µm
_026_,5.31µm
addr01[4],5.31µm
sine_out[7],5.19µm
sine_out[1],5.07µm
sine_out[2],5.07µm
sine_out[3],5.07µm
sine_out[5],5.07µm
_019_,5.04µm
_048_,4.87µm
sine_out[11],4.85µm
sine_out[14],4.85µm
sine_out[15],4.85µm
sine_out[6],4.85µm
_027_,4.53µm
_017_,3.9µm
_033_,3.59µm
_016_,3.22µm
_020_,2.62µm
_041_,2.38µm
_055_,2.06µm
_056_,1.94µm
