net,length_um
net34,223.795µm
_372_,199.92µm
net20,193.75µm
net28,186.87µm
net32,186.45µm
_018_,179.27µm
net31,175.94µm
_376_,169.515µm
_032_,168.56µm
net35,168.46µm
_021_,161.9µm
_383_,161.525µm
net22,158.44µm
net43,155.97µm
net21,154.33µm
_338_,150.28µm
net41,147.91µm
_353_,146.56µm
_044_,146.07µm
net23,144.57µm
net39,143.74µm
net29,137.98µm
_029_,135.47µm
net18,134.73µm
_337_,130.31µm
_122_,130.16µm
_350_,128.43µm
net25,127.02µm
_334_,124.59µm
net76,123.485µm
_055_,119.745µm
_349_,118.69µm
net24,117.585µm
net79,114.94µm
net26,110.64µm
net47,104.1µm
net67,101.53µm
net27,101.36µm
_346_,100.61µm
net65,100.36µm
net73,100.25µm
net72,100.1µm
net74,98.37µm
_354_,98.3µm
net37,98.29µm
_339_,97.99µm
_089_,97.58µm
net78,97.51µm
_377_,97.44µm
net44,97.18µm
net69,96.35µm
_078_,94.01µm
net48,93.93µm
_342_,93.16µm
net77,93.08µm
_359_,92.95µm
_379_,92.73µm
_179_,91.615µm
_022_,91.47µm
net49,91.44µm
net50,90.98µm
_328_,88.74µm
_001_,88.58µm
_023_,88.54µm
net33,88.18µm
_102_,88.09µm
_362_,86.27µm
_347_,86.18µm
_052_,85.08µm
_051_,83.88µm
net42,83.02µm
net57,82.82µm
net1,82.08µm
_345_,82.04µm
net71,81.87µm
net45,80.27µm
net36,79.9µm
net40,79.06µm
net62,78.615µm
_134_,78.225µm
_197_,77.98µm
_038_,77.68µm
net46,77.44µm
net60,76.9µm
net75,76.54µm
_035_,75.77µm
net70,74.15µm
net55,73.88µm
_045_,73.15µm
net52,72.78µm
net30,71.285µm
_356_,69.61µm
net51,69.12µm
net61,68.67µm
_046_,68.345µm
_184_,67.5µm
_228_,66.02µm
_361_,65.13µm
_147_,63.66µm
net38,63.3µm
net58,63.17µm
_368_,61.08µm
_374_,60.78µm
_028_,60.18µm
net64,58.7µm
_341_,58.06µm
net68,54.06µm
net63,53.64µm
_382_,52.54µm
_381_,52.24µm
_088_,51.145µm
_157_,51.06µm
_148_,50.58µm
tcout\[1\],50.49µm
_248_,50.12µm
net59,49.89µm
_062_,48.27µm
tcout\[5\],48.07µm
_308_,47.72µm
net66,47.64µm
_336_,47.61µm
_263_,47.56µm
net54,47.28µm
tcout\[4\],46.78µm
_340_,45.94µm
_026_,45.43µm
_373_,44.7µm
_195_,44.34µm
net56,43.86µm
_057_,43.38µm
_222_,43.32µm
_385_,42.78µm
_367_,42.68µm
_206_,42.285µm
_063_,42.03µm
clknet_1_0__leaf_clk,41.46µm
_041_,41.205µm
_087_,40.365µm
_220_,39.2µm
_066_,39.01µm
_049_,38.84µm
_126_,38.6µm
_117_,37.68µm
_208_,37.44µm
_302_,37.02µm
_246_,36.685µm
_177_,36.34µm
_086_,36.22µm
_175_,35.62µm
_141_,35.5µm
net19,34.66µm
_257_,34.56µm
_061_,33.8µm
_019_,33.62µm
_305_,33.54µm
_366_,33.35µm
_027_,32.77µm
_283_,32.44µm
_375_,31.56µm
_171_,31.44µm
_260_,31µm
_207_,30.88µm
_054_,28.7µm
_288_,28.7µm
_079_,28.65µm
_252_,28.34µm
_094_,28.26µm
_344_,28.22µm
tcout\[7\],27.8µm
_205_,26.63µm
_329_,26.6µm
_378_,26.38µm
_223_,25.96µm
_042_,25.075µm
clknet_1_1__leaf_clk,24.84µm
_199_,24.78µm
_031_,24.29µm
_240_,23.89µm
clknet_0_clk,23.52µm
_229_,22.54µm
_172_,22.5µm
_120_,22.43µm
_135_,22µm
_033_,21.84µm
_251_,21.58µm
_076_,21.485µm
_319_,21.34µm
_060_,21.01µm
_036_,20.8µm
_166_,20.5µm
_281_,20.34µm
_369_,20.08µm
_187_,20.06µm
_201_,19.74µm
_127_,19.46µm
_286_,19.4µm
_333_,19.08µm
net2,18.82µm
net9,18.82µm
_104_,18.66µm
_112_,18.46µm
_237_,18.32µm
_239_,18.32µm
_217_,18.3µm
_247_,18.16µm
_185_,18.02µm
_198_,17.56µm
_357_,17.5µm
_081_,17.215µm
net3,17.02µm
_352_,16.98µm
_181_,16.6µm
_099_,16.5µm
_380_,16.44µm
_125_,16.26µm
_268_,16.26µm
_121_,15.69µm
net53,15.64µm
_151_,15.49µm
_096_,15.4µm
_110_,14.94µm
_335_,14.94µm
_370_,14.82µm
_080_,14.8µm
_097_,14.7µm
_133_,14.46µm
_343_,14.105µm
_212_,14.1µm
sine_out[5],13.98µm
_128_,13.88µm
_173_,13.76µm
_363_,13.56µm
_098_,13.38µm
net12,13.38µm
net10,13.22µm
_077_,13.16µm
tcout\[0\],13.16µm
_224_,13.065µm
_270_,13.04µm
_030_,13.02µm
_249_,12.96µm
_002_,12.92µm
_064_,12.82µm
_074_,12.75µm
sine_out[8],12.6µm
_243_,12.385µm
_235_,12.38µm
_169_,12.28µm
_351_,12.18µm
_244_,12.12µm
clk,12.05µm
sine_out[3],11.68µm
_065_,11.56µm
_115_,10.88µm
_059_,10.8µm
_071_,10.76µm
_358_,10.48µm
_165_,10.46µm
_108_,10.44µm
_355_,10.36µm
_360_,10.26µm
_186_,10.22µm
_282_,10µm
sine_out[4],9.97µm
_106_,9.92µm
sine_out[14],9.83µm
_162_,9.66µm
_007_,9.54µm
_039_,9.48µm
_140_,9.34µm
_384_,9.27µm
_025_,9.24µm
_150_,9.23µm
_154_,9.2µm
tcout\[2\],9.2µm
_183_,9.12µm
_146_,9.105µm
_000_,9.1µm
_386_,9.08µm
_037_,9.06µm
_072_,9.06µm
_321_,8.96µm
sine_out[1],8.96µm
_161_,8.94µm
_218_,8.9µm
_313_,8.6µm
sine_out[10],8.5µm
_290_,8.48µm
_230_,8.4µm
_050_,8.36µm
_014_,8.32µm
_124_,8.28µm
_119_,8.2µm
_295_,8.1µm
_322_,8.1µm
_006_,8.02µm
_296_,7.94µm
_009_,7.76µm
_143_,7.7µm
_139_,7.6µm
_145_,7.6µm
tcout\[6\],7.6µm
_276_,7.56µm
_158_,7.44µm
_209_,7.4µm
_170_,7.14µm
_152_,7.1µm
_103_,6.98µm
_105_,6.76µm
_280_,6.76µm
_047_,6.62µm
_274_,6.6µm
_194_,6.54µm
_040_,6.44µm
sine_out[15],6.43µm
_130_,6.4µm
_008_,6.31µm
net11,6.26µm
_082_,6.14µm
_269_,5.96µm
_258_,5.86µm
_250_,5.84µm
sine_out[11],5.75µm
sine_out[6],5.75µm
_144_,5.72µm
_307_,5.68µm
rst,5.63µm
_309_,5.62µm
_010_,5.61µm
_273_,5.48µm
sine_out[9],5.41µm
_241_,5.37µm
_024_,5.34µm
_093_,5.34µm
_256_,5.34µm
net7,5.34µm
sine_out[0],5.29µm
_266_,5.26µm
_303_,5.26µm
_300_,5.22µm
_325_,5.12µm
sine_out[12],5.07µm
_155_,4.94µm
_191_,4.94µm
_271_,4.94µm
_255_,4.92µm
_095_,4.9µm
_221_,4.9µm
_069_,4.88µm
_326_,4.88µm
_189_,4.82µm
_245_,4.805µm
_005_,4.8µm
sine_out[7],4.73µm
_056_,4.7µm
_149_,4.68µm
sine_out[2],4.61µm
_058_,4.58µm
_131_,4.58µm
_299_,4.56µm
_004_,4.505µm
_200_,4.48µm
_073_,4.46µm
_101_,4.46µm
_242_,4.46µm
_264_,4.46µm
net16,4.46µm
_261_,4.42µm
sine_out[13],4.39µm
_304_,4.36µm
_075_,4.34µm
_202_,4.34µm
_267_,4.34µm
_312_,4.34µm
_317_,4.34µm
_331_,4.22µm
_017_,4.14µm
_092_,4.12µm
_053_,4.11µm
_100_,4.02µm
_231_,4.02µm
_291_,3.9µm
_315_,3.9µm
_160_,3.88µm
_215_,3.88µm
_324_,3.88µm
_327_,3.88µm
_364_,3.88µm
_116_,3.72µm
_003_,3.66µm
_174_,3.64µm
_211_,3.64µm
_277_,3.56µm
_323_,3.56µm
_083_,3.54µm
_182_,3.54µm
_285_,3.54µm
_314_,3.54µm
_107_,3.52µm
_070_,3.445µm
_301_,3.44µm
_048_,3.42µm
_168_,3.42µm
_216_,3.42µm
_318_,3.3µm
_210_,3.22µm
_238_,3.2µm
_118_,3.18µm
_129_,3.1µm
_316_,3.1µm
_371_,3.1µm
_254_,3.08µm
_259_,3.08µm
net13,3.08µm
_287_,2.98µm
_016_,2.96µm
_188_,2.96µm
net5,2.96µm
net6,2.96µm
net14,2.96µm
net15,2.96µm
net17,2.96µm
_164_,2.935µm
_159_,2.86µm
_236_,2.86µm
_015_,2.84µm
_262_,2.74µm
_320_,2.68µm
_085_,2.64µm
_136_,2.64µm
_294_,2.64µm
_090_,2.62µm
_113_,2.62µm
net4,2.62µm
_084_,2.5µm
_163_,2.5µm
_192_,2.5µm
_193_,2.5µm
_232_,2.5µm
_272_,2.5µm
_292_,2.5µm
_332_,2.5µm
net8,2.5µm
_011_,2.38µm
_013_,2.38µm
_310_,2.38µm
_034_,2.3µm
_012_,2.23µm
_114_,2.18µm
_156_,2.18µm
_167_,2.16µm
_279_,2.16µm
_284_,2.06µm
_123_,2.04µm
_180_,2.04µm
_190_,2.04µm
_204_,2.04µm
_213_,2.04µm
_293_,2.04µm
_225_,1.84µm
_234_,1.84µm
_278_,1.84µm
_233_,1.82µm
_306_,1.82µm
_348_,1.82µm
_137_,1.72µm
_311_,1.72µm
_176_,1.7µm
_203_,1.7µm
tcout\[3\],1.7µm
_196_,1.6µm
_142_,1.48µm
_153_,1.48µm
_068_,1.46µm
_067_,1.38µm
_091_,1.38µm
_275_,1.38µm
_365_,1.38µm
_020_,1.36µm
_219_,1.26µm
_265_,1.26µm
_109_,1.25µm
_297_,1.14µm
_226_,1.02µm
_298_,1.02µm
_138_,0.92µm
_214_,0.92µm
_227_,0.92µm
_253_,0.92µm
_330_,0.92µm
_043_,0.8µm
_111_,0.8µm
_178_,0.8µm
_289_,0.8µm
_132_,0.46µm
