net,length_um
net71,742.02µm
net70,723.4µm
net69,715.15µm
clknet_0_clk,678.76µm
net72,671.42µm
net68,670.74µm
net82,658.92µm
net81,653.02µm
net73,643.82µm
net80,626.92µm
clk,621.04µm
net74,618.3µm
tcout\[0\],603.09µm
tcout\[1\],600.72µm
net79,592.86µm
net75,581.26µm
net76,573.9µm
net78,565.4µm
sine_out_temp1\[0\],561.44µm
tcout\[5\],551.15µm
net77,547.655µm
tcout\[7\],544.2µm
tcout\[6\],523.995µm
clknet_2_2__leaf_clk,502.66µm
clknet_2_0__leaf_clk,487.33µm
tcout\[4\],480.47µm
tcout\[2\],475.645µm
tcout\[3\],459.55µm
clknet_2_3__leaf_clk,389.84µm
net87,364.04µm
net84,281.98µm
net39,229.04µm
net41,227.98µm
net50,226.81µm
net49,219.21µm
net38,216.02µm
net40,215.59µm
clknet_2_1__leaf_clk,211.24µm
net37,207.49µm
net47,195.05µm
net36,192.55µm
net45,190.82µm
net46,185.6µm
net7,185.4µm
net8,179.22µm
net48,176.43µm
net9,176.26µm
net43,171.37µm
net6,169.12µm
net42,167.52µm
net5,160.99µm
net4,160.675µm
net3,158.635µm
net29,157.11µm
net28,154.38µm
net44,152.99µm
net35,149.76µm
net27,146.63µm
net19,142.15µm
net63,142.06µm
net26,140.46µm
net86,139.38µm
net1,134.73µm
net60,134.36µm
net10,133.31µm
net62,133.04µm
net61,129.45µm
net65,128.86µm
net64,127.2µm
net2,126.75µm
net59,125.12µm
sine_out_temp0\[9\],123.825µm
sine_out_temp0\[7\],120.765µm
sine_out_temp0\[8\],120.745µm
sine_out_temp0\[6\],119.595µm
_012_,118.38µm
sine_out_temp0\[12\],116.485µm
sine_out_temp0\[15\],113.895µm
net66,113.58µm
sine_out_temp0\[11\],113.32µm
sine_out_temp0\[10\],112.7µm
net54,111.92µm
net53,111.82µm
_013_,110.585µm
sine_out_temp0\[14\],109.885µm
net52,109.14µm
sine_out_temp0\[13\],107.18µm
net67,103.92µm
sine_out_temp0\[4\],102.74µm
net83,102.6µm
sine_out_temp0\[3\],102.54µm
sine_out_temp0\[2\],101.505µm
_015_,100.005µm
_014_,99.92µm
sine_out_temp0\[0\],99.745µm
_001_,99.02µm
sine_out_temp0\[5\],98.265µm
net51,98.26µm
sine_out_temp0\[1\],97.555µm
net85,94.89µm
net55,94.44µm
net56,91.22µm
net17,89.795µm
_002_,85.02µm
net57,84.96µm
_009_,84.24µm
_057_,81.2µm
_011_,80.94µm
_003_,77.805µm
_010_,77.38µm
_004_,76.44µm
_006_,71.025µm
_005_,66.52µm
net58,65.62µm
_008_,64.8µm
_007_,59.14µm
_052_,55.87µm
_000_,51.8µm
net18,44.945µm
_042_,44.24µm
net13,43.45µm
net12,43.425µm
net11,42.645µm
net16,42.57µm
_050_,42.54µm
net14,42.09µm
net15,41.99µm
net23,39.27µm
net33,38.99µm
net32,38.73µm
_045_,38.53µm
net22,38.1µm
net31,37.79µm
net30,37.73µm
net21,37.66µm
net25,37.64µm
net24,37.62µm
net20,37.48µm
net34,37.38µm
_047_,36.65µm
_044_,34.05µm
_046_,31.82µm
_043_,29.25µm
tcout\[8\],27.26µm
sine_out_temp1\[6\],25.315µm
sine_out_temp1\[7\],23.875µm
sine_out_temp1\[8\],23.355µm
sine_out_temp1\[9\],23.295µm
sine_out_temp1\[10\],22.67µm
_024_,22.38µm
sine_out_temp1\[11\],19.91µm
sine_out_temp1\[12\],19.895µm
_032_,19.18µm
sine_out_temp1\[13\],18.99µm
_031_,18.68µm
sine_out_temp1\[14\],18.395µm
_058_,17.7µm
_018_,17.42µm
sine_out_temp1\[4\],16.78µm
sine_out_temp1\[5\],16.32µm
sine_out_temp1\[15\],16.035µm
_039_,15.51µm
_034_,15.47µm
sine_out_temp1\[3\],15.245µm
sine_out_temp1\[2\],14.725µm
sine_out_temp1\[1\],14.205µm
_037_,14.19µm
_051_,13.84µm
net88,13.68µm
net89,12.52µm
_036_,12.36µm
_029_,12.24µm
_022_,11.72µm
_028_,11.51µm
_053_,10.74µm
_030_,10.59µm
_021_,10.32µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[13],9.64µm
din00[5],9.64µm
din00[6],9.64µm
din00[7],9.64µm
din00[8],9.64µm
addr00[1],9.6µm
addr00[4],9.07µm
addr01[0],9.07µm
din00[2],9.07µm
din01[13],9.07µm
din01[2],9.07µm
din01[7],9.07µm
_054_,9.04µm
din00[3],8.73µm
din00[14],8.72µm
din00[15],8.72µm
din00[9],8.72µm
din00[4],8.63µm
addr00[0],8.39µm
addr00[2],8.39µm
din01[0],8.39µm
din01[4],8.39µm
din01[3],8.05µm
din01[5],8.05µm
addr00[5],7.71µm
addr00[7],7.71µm
din01[14],7.71µm
din01[1],7.71µm
_035_,7.63µm
csb01,7.35µm
sine_out[9],7.23µm
rst,7.13µm
_049_,7.05µm
addr00[3],7.03µm
addr00[6],7.03µm
din00[0],7.03µm
din00[1],7.03µm
din01[10],7.03µm
din01[11],7.03µm
din01[12],7.03µm
din01[15],7.03µm
din01[8],7.03µm
din01[9],7.03µm
addr01[5],7.01µm
_040_,6.91µm
csb00,6.91µm
din01[6],6.69µm
addr01[3],6.67µm
addr01[7],6.67µm
addr01[1],6.43µm
_025_,6.37µm
sine_out[13],6.21µm
sine_out[8],6.21µm
_023_,5.96µm
_038_,5.77µm
sine_out[4],5.75µm
addr01[2],5.65µm
addr01[6],5.65µm
sine_out[10],5.53µm
