Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_182_1077,VGND,li1,501.8600,505.9200,0.000000
FILLER_182_1065,VGND,li1,498.1800,505.9200,0.000000
FILLER_182_1061,VGND,li1,494.2700,505.9200,0.000000
FILLER_182_1049,VGND,li1,490.8200,505.9200,0.000000
FILLER_182_1037,VGND,li1,485.3000,505.9200,0.000000
FILLER_182_1033,VGND,li1,481.3900,505.9200,0.000000
FILLER_182_1021,VGND,li1,477.9400,505.9200,0.000000
FILLER_182_1009,VGND,li1,472.4200,505.9200,0.000001
FILLER_182_1005,VGND,li1,468.5100,505.9200,0.000001
FILLER_182_993,VGND,li1,465.0600,505.9200,0.000001
FILLER_182_981,VGND,li1,459.5400,505.9200,0.000001
FILLER_182_977,VGND,li1,455.6300,505.9200,0.000001
FILLER_182_965,VGND,li1,452.1800,505.9200,0.000001
FILLER_182_953,VGND,li1,446.6600,505.9200,0.000001
FILLER_182_949,VGND,li1,442.7500,505.9200,0.000001
FILLER_182_937,VGND,li1,439.3000,505.9200,0.000001
FILLER_182_925,VGND,li1,433.7800,505.9200,0.000002
FILLER_182_921,VGND,li1,429.8700,505.9200,0.000002
FILLER_182_909,VGND,li1,426.4200,505.9200,0.000002
FILLER_182_897,VGND,li1,420.9000,505.9200,0.000002
FILLER_182_893,VGND,li1,416.9900,505.9200,0.000002
FILLER_182_881,VGND,li1,413.5400,505.9200,0.000002
FILLER_182_869,VGND,li1,408.0200,505.9200,0.000002
FILLER_182_865,VGND,li1,404.1100,505.9200,0.000002
FILLER_182_853,VGND,li1,400.6600,505.9200,0.000003
FILLER_182_841,VGND,li1,395.1400,505.9200,0.000003
FILLER_182_837,VGND,li1,391.2300,505.9200,0.000003
FILLER_182_825,VGND,li1,387.7800,505.9200,0.000003
FILLER_182_813,VGND,li1,382.2600,505.9200,0.000003
FILLER_182_809,VGND,li1,378.3500,505.9200,0.000003
FILLER_182_797,VGND,li1,374.9000,505.9200,0.000003
FILLER_182_785,VGND,li1,369.3800,505.9200,0.000003
FILLER_182_781,VGND,li1,365.4700,505.9200,0.000003
FILLER_182_769,VGND,li1,362.0200,505.9200,0.000004
FILLER_182_757,VGND,li1,356.5000,505.9200,0.000004
FILLER_182_753,VGND,li1,352.5900,505.9200,0.000004
FILLER_182_741,VGND,li1,349.1400,505.9200,0.000004
FILLER_182_729,VGND,li1,343.6200,505.9200,0.000004
FILLER_182_725,VGND,li1,339.7100,505.9200,0.000004
FILLER_182_713,VGND,li1,336.2600,505.9200,0.000004
FILLER_182_701,VGND,li1,330.7400,505.9200,0.000004
FILLER_182_697,VGND,li1,326.8300,505.9200,0.000006
FILLER_182_685,VGND,li1,323.3800,505.9200,0.000008
FILLER_182_673,VGND,li1,317.8600,505.9200,0.000010
FILLER_182_669,VGND,li1,313.9500,505.9200,0.000013
FILLER_182_657,VGND,li1,310.5000,505.9200,0.000014
FILLER_182_645,VGND,li1,304.9800,505.9200,0.000016
FILLER_182_642,VGND,li1,301.3000,505.9200,0.000018
FILLER_182_630,VGND,li1,298.0800,505.9200,0.000020
