net,length_um
clknet_1_0__leaf_clk,664.83µm
clk,522.83µm
clknet_1_1__leaf_clk,418.65µm
net20,411.6µm
clknet_0_clk,359.02µm
tcout\[1\],188.94µm
tcout\[0\],187.2µm
tcout\[5\],167.565µm
tcout\[6\],149.46µm
_032_,125.185µm
tcout\[7\],124.17µm
tcout\[2\],120.61µm
_018_,107.36µm
net18,82.08µm
tcout\[3\],76.07µm
tcout\[4\],70.39µm
sine_out_temp\[3\],57.01µm
sine_out_temp\[0\],55.635µm
sine_out_temp\[1\],54.745µm
sine_out_temp\[2\],52.755µm
net19,49.88µm
addr0[7],49.08µm
csb0,47.895µm
addr0[5],47.86µm
din0[8],47.81µm
din0[3],47.65µm
din0[13],47.59µm
addr0[3],47.545µm
din0[14],47.49µm
addr0[0],47.38µm
din0[2],47.38µm
addr0[2],47.295µm
din0[9],47.27µm
din0[7],47.21µm
addr0[4],47.08µm
din0[4],47.05µm
addr0[1],46.92µm
din0[12],46.92µm
din0[1],46.92µm
din0[15],46.89µm
din0[10],46.76µm
addr0[6],46.7µm
din0[6],46.7µm
din0[11],46.55µm
din0[5],46.55µm
din0[0],46.53µm
sine_out_temp\[5\],43.615µm
sine_out_temp\[4\],43.37µm
sine_out_temp\[7\],40.955µm
sine_out_temp\[6\],40.565µm
sine_out_temp\[8\],37.465µm
sine_out_temp\[10\],31.71µm
sine_out_temp\[9\],29.735µm
sine_out_temp\[12\],29.395µm
sine_out_temp\[11\],28.95µm
net8,27.52µm
net1,27.34µm
net7,27.02µm
sine_out_temp\[13\],26.28µm
_033_,25.74µm
_026_,24.88µm
net12,24.72µm
net17,24.26µm
net3,23.94µm
net4,23.94µm
sine_out_temp\[15\],23.845µm
_027_,23.53µm
_037_,23.02µm
net2,22.46µm
net14,22.46µm
_025_,22.34µm
net5,22.1µm
net10,22µm
net11,22µm
net13,22µm
_028_,21.66µm
net6,21.54µm
net9,21.54µm
net16,21.54µm
net15,21.08µm
_036_,20.33µm
_031_,19.94µm
_029_,19.63µm
_024_,19.4µm
sine_out_temp\[14\],19.315µm
_023_,17.97µm
_008_,16.63µm
_004_,15.9µm
_010_,15.71µm
_000_,15.42µm
_002_,15.12µm
_030_,14.51µm
_006_,14.46µm
_021_,14.11µm
_022_,14.11µm
_009_,13.75µm
net21,13.68µm
_011_,12.43µm
_007_,12.42µm
_003_,11.36µm
_012_,11.23µm
_005_,10.94µm
_001_,10.06µm
_013_,9.85µm
net25,9.78µm
net23,9.66µm
sine_out[10],8.96µm
sine_out[11],8.96µm
sine_out[14],8.96µm
sine_out[15],8.96µm
sine_out[2],8.96µm
sine_out[3],8.96µm
sine_out[4],8.96µm
sine_out[5],8.96µm
sine_out[6],8.96µm
sine_out[9],8.96µm
sine_out[0],8.5µm
sine_out[12],8.5µm
sine_out[13],8.5µm
sine_out[1],8.5µm
sine_out[7],8.5µm
sine_out[8],8.5µm
_017_,7.84µm
net22,7.52µm
net24,7.18µm
rst,6.43µm
_038_,6.28µm
_035_,6.26µm
_020_,5.95µm
_014_,5.78µm
_015_,4.76µm
_019_,3.59µm
_034_,2.3µm
_016_,2.21µm
