net,length_um
net71,741.8µm
net70,722.6µm
net69,712.48µm
clknet_0_clk,682.98µm
net68,671.2µm
net72,668.66µm
net82,658.72µm
net81,651.88µm
net73,645.64µm
net80,627.5µm
clk,621.04µm
net74,620.82µm
tcout\[0\],602.83µm
tcout\[1\],598.56µm
net79,590.9µm
net75,581.72µm
net76,575.74µm
net78,566.44µm
sine_out_temp1\[0\],560.93µm
tcout\[5\],551.79µm
net77,548.355µm
tcout\[7\],546.68µm
tcout\[6\],513.89µm
clknet_2_2__leaf_clk,504.32µm
clknet_2_0__leaf_clk,488.65µm
tcout\[4\],479.89µm
tcout\[2\],475.645µm
tcout\[3\],459.21µm
clknet_2_3__leaf_clk,388.48µm
net87,364.04µm
net84,278.58µm
net39,229.04µm
net41,227.98µm
net50,226.47µm
net49,217.51µm
net38,216.02µm
net40,215.59µm
net37,207.83µm
clknet_2_1__leaf_clk,204.8µm
net47,195.05µm
net36,192.55µm
net45,190.48µm
net46,185.88µm
net7,184.94µm
net8,179.22µm
net9,176.26µm
net48,175.41µm
net43,171.37µm
net6,169.12µm
net42,166.28µm
net5,162.83µm
net4,161.595µm
net3,158.635µm
net29,157.11µm
net28,154.38µm
net44,152.65µm
net35,149.42µm
net27,146.63µm
net63,144.78µm
net19,142.15µm
net26,140.46µm
net1,134.73µm
net10,133.31µm
net62,133.04µm
net60,132.32µm
net65,128.86µm
net61,128.09µm
net64,127.2µm
net2,126.75µm
net86,125.52µm
sine_out_temp0\[9\],125.185µm
net59,125.12µm
sine_out_temp0\[6\],125.035µm
sine_out_temp0\[8\],124.825µm
sine_out_temp0\[7\],120.085µm
_012_,120.08µm
sine_out_temp0\[11\],115.7µm
sine_out_temp0\[14\],114.305µm
sine_out_temp0\[10\],113.38µm
sine_out_temp0\[15\],113.125µm
net66,112.9µm
net54,111.92µm
net53,111.82µm
sine_out_temp0\[12\],111.725µm
_013_,109.325µm
net83,109.22µm
net52,108.9µm
sine_out_temp0\[13\],107.18µm
_001_,104.46µm
net67,103.58µm
sine_out_temp0\[4\],103.42µm
sine_out_temp0\[3\],102.67µm
sine_out_temp0\[2\],101.505µm
sine_out_temp0\[0\],100.115µm
_014_,99.92µm
_015_,99.325µm
sine_out_temp0\[5\],98.265µm
net51,98.26µm
sine_out_temp0\[1\],97.555µm
net55,94.44µm
net85,94.04µm
net56,91.22µm
net17,89.795µm
net57,84.96µm
_057_,83.92µm
_009_,83.56µm
_003_,81.3µm
_011_,80.6µm
_002_,79.98µm
_010_,76.7µm
_004_,75.42µm
_006_,71.025µm
_005_,66.52µm
net58,65.62µm
_008_,63.44µm
_007_,57.78µm
_052_,55.86µm
_000_,51.8µm
net18,44.945µm
_042_,43.9µm
net13,43.45µm
net12,43.425µm
net11,42.645µm
net16,42.57µm
net14,42.09µm
net15,41.99µm
_050_,41.62µm
net23,39.27µm
net33,38.99µm
net32,38.73µm
_045_,38.53µm
net22,38.1µm
net31,37.79µm
net30,37.73µm
net21,37.66µm
net25,37.64µm
net24,37.62µm
net20,37.48µm
net34,37.38µm
_047_,36.65µm
_044_,34.05µm
_046_,31.82µm
_043_,29.25µm
tcout\[8\],27.94µm
sine_out_temp1\[6\],24.855µm
sine_out_temp1\[7\],23.415µm
_024_,23.06µm
sine_out_temp1\[8\],22.895µm
sine_out_temp1\[9\],22.835µm
sine_out_temp1\[10\],22.67µm
sine_out_temp1\[12\],19.895µm
sine_out_temp1\[11\],19.45µm
_032_,19.18µm
_031_,18.68µm
sine_out_temp1\[13\],18.53µm
sine_out_temp1\[14\],17.935µm
_058_,17.7µm
_018_,17.42µm
sine_out_temp1\[4\],16.32µm
sine_out_temp1\[5\],16.32µm
sine_out_temp1\[15\],15.575µm
_039_,15.51µm
_034_,15.47µm
sine_out_temp1\[3\],15.245µm
sine_out_temp1\[2\],14.265µm
sine_out_temp1\[1\],14.205µm
_037_,14.19µm
_051_,13.84µm
net88,13.68µm
net89,12.52µm
_036_,12.36µm
_029_,12.24µm
_022_,11.72µm
_028_,11.51µm
_053_,10.74µm
_030_,10.59µm
_021_,10.32µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[13],9.64µm
din00[5],9.64µm
din00[6],9.64µm
din00[7],9.64µm
din00[8],9.64µm
addr00[1],9.6µm
addr00[4],9.07µm
addr01[0],9.07µm
din00[2],9.07µm
din01[13],9.07µm
din01[2],9.07µm
din01[7],9.07µm
_054_,9.04µm
din00[4],8.97µm
din00[3],8.73µm
din00[14],8.72µm
din00[15],8.72µm
din00[9],8.72µm
addr00[0],8.39µm
addr00[2],8.39µm
din01[0],8.39µm
din01[4],8.39µm
din01[3],8.05µm
din01[5],8.05µm
addr00[5],7.71µm
addr00[7],7.71µm
din01[14],7.71µm
din01[1],7.71µm
_035_,7.63µm
csb01,7.35µm
sine_out[9],7.23µm
rst,7.13µm
_049_,7.05µm
addr00[3],7.03µm
addr00[6],7.03µm
din00[0],7.03µm
din00[1],7.03µm
din01[10],7.03µm
din01[11],7.03µm
din01[12],7.03µm
din01[15],7.03µm
din01[8],7.03µm
din01[9],7.03µm
addr01[5],7.01µm
_040_,6.91µm
csb00,6.91µm
din01[6],6.69µm
addr01[3],6.67µm
addr01[7],6.67µm
addr01[1],6.43µm
_025_,6.37µm
sine_out[13],6.21µm
sine_out[8],6.21µm
_023_,5.96µm
