net,length_um
_038_,5.77µm
sine_out[4],5.75µm
addr01[2],5.65µm
addr01[6],5.65µm
sine_out[10],5.53µm
sine_out[12],5.53µm
sine_out[0],5.41µm
addr01[4],5.31µm
sine_out[7],5.19µm
sine_out[1],5.07µm
sine_out[2],5.07µm
sine_out[3],5.07µm
sine_out[5],5.07µm
_019_,5.04µm
_026_,4.97µm
_048_,4.87µm
sine_out[11],4.85µm
sine_out[14],4.85µm
sine_out[15],4.85µm
sine_out[6],4.85µm
_027_,4.53µm
_033_,3.59µm
_016_,3.22µm
_017_,2.98µm
_041_,2.84µm
_020_,2.62µm
_055_,2.06µm
_056_,1.94µm
