Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_7,VGND,li1,9.2000,76.1600,0.000012
FILLER_23_185,VGND,li1,90.8500,76.1600,0.000075
FILLER_23_177,VGND,li1,88.7800,76.1600,0.000075
FILLER_23_167,VGND,li1,82.5700,76.1600,0.000074
FILLER_23_161,VGND,li1,80.9600,76.1600,0.000074
FILLER_23_140,VGND,li1,70.1500,76.1600,0.000064
FILLER_23_136,VGND,li1,69.0000,76.1600,0.000062
FILLER_23_125,VGND,li1,63.4800,76.1600,0.000056
FILLER_23_113,VGND,li1,60.2600,76.1600,0.000052
FILLER_23_104,VGND,li1,55.2000,76.1600,0.000046
FILLER_23_95,VGND,li1,49.6800,76.1600,0.000041
FILLER_23_86,VGND,li1,45.7700,76.1600,0.000036
FILLER_23_67,VGND,li1,37.7200,76.1600,0.000027
FILLER_23_57,VGND,li1,32.2000,76.1600,0.000019
FILLER_23_55,VGND,li1,31.0500,76.1600,0.000017
FILLER_23_49,VGND,li1,29.4400,76.1600,0.000017
FILLER_23_29,VGND,li1,19.7800,76.1600,0.000012
FILLER_23_20,VGND,li1,16.1000,76.1600,0.000012
FILLER_23_15,VGND,li1,12.8800,76.1600,0.000012
FILLER_23_7,VGND,li1,10.5800,76.1600,0.000012
FILLER_22_184,VGND,li1,90.6200,70.7200,0.000013
FILLER_22_180,VGND,li1,88.5500,70.7200,0.000013
FILLER_22_174,VGND,li1,86.9400,70.7200,0.000013
FILLER_22_145,VGND,li1,72.4500,70.7200,0.000010
FILLER_22_141,VGND,li1,71.3000,70.7200,0.000010
FILLER_22_137,VGND,li1,69.2300,70.7200,0.000010
FILLER_22_129,VGND,li1,66.7000,70.7200,0.000010
FILLER_22_116,VGND,li1,59.5700,70.7200,0.000008
FILLER_22_108,VGND,li1,57.0400,70.7200,0.000008
FILLER_22_91,VGND,li1,48.7600,70.7200,0.000006
FILLER_22_83,VGND,li1,43.9300,70.7200,0.000005
FILLER_22_59,VGND,li1,33.5800,70.7200,0.000004
FILLER_22_44,VGND,li1,27.1400,70.7200,0.000002
FILLER_22_15,VGND,li1,12.6500,70.7200,0.000002
FILLER_22_3,VGND,li1,7.3600,70.7200,0.000002
FILLER_21_167,VGND,li1,82.5700,70.7200,0.000012
FILLER_21_161,VGND,li1,80.9600,70.7200,0.000012
FILLER_21_157,VGND,li1,77.9700,70.7200,0.000011
FILLER_21_153,VGND,li1,76.1300,70.7200,0.000011
FILLER_21_145,VGND,li1,74.0600,70.7200,0.000011
FILLER_21_138,VGND,li1,69.4600,70.7200,0.000010
FILLER_21_130,VGND,li1,67.1600,70.7200,0.000010
FILLER_21_116,VGND,li1,59.3400,70.7200,0.000008
FILLER_21_94,VGND,li1,48.9900,70.7200,0.000006
