net,length_um
net71,743.84µm
net70,725.02µm
net69,713.4µm
clknet_0_clk,680.46µm
net68,673.96µm
net72,672.1µm
net82,661.92µm
net81,652.8µm
net73,646.56µm
net80,626.58µm
clk,621.04µm
net74,619.9µm
tcout\[1\],600.76µm
net79,588.86µm
net75,581.72µm
net76,572.06µm
net78,562.18µm
sine_out_temp1\[0\],555.15µm
tcout\[5\],549.39µm
net77,544.915µm
tcout\[6\],532.33µm
tcout\[7\],529.11µm
clknet_2_2__leaf_clk,505.12µm
tcout\[0\],497.98µm
clknet_2_0__leaf_clk,494.23µm
tcout\[2\],473.07µm
tcout\[3\],467.81µm
net51,427.32µm
clknet_2_3__leaf_clk,384.42µm
net86,319.51µm
net39,228.12µm
tcout\[4\],227.4µm
net41,226.82µm
net50,226.47µm
tcout\[8\],218.38µm
net49,217.51µm
net40,217.37µm
net38,216.02µm
net37,207.83µm
clknet_2_1__leaf_clk,206.86µm
net47,195.05µm
net36,192.55µm
net45,190.82µm
net46,185.64µm
net7,185.4µm
net8,179.22µm
net9,176.26µm
net48,173.71µm
net43,171.37µm
net6,169.12µm
net42,166.16µm
net5,160.99µm
net4,160.675µm
net3,158.635µm
net29,157.11µm
net28,154.38µm
net44,152.99µm
net84,150.07µm
net35,149.76µm
net27,146.63µm
net63,143.08µm
net91,142.895µm
net19,142.15µm
net26,140.46µm
net1,134.73µm
net62,134.06µm
net10,133.31µm
net60,131.64µm
net87,130.1µm
net61,129.28µm
net65,128.86µm
net64,127.2µm
net2,126.75µm
net59,125.12µm
sine_out_temp0\[9\],124.505µm
sine_out_temp0\[8\],123.805µm
sine_out_temp0\[7\],120.765µm
_012_,119.74µm
sine_out_temp0\[6\],119.595µm
sine_out_temp0\[14\],116.805µm
sine_out_temp0\[11\],114.68µm
sine_out_temp0\[12\],114.105µm
net66,112.9µm
sine_out_temp0\[10\],112.7µm
sine_out_temp0\[13\],112.62µm
net53,111.82µm
net54,108.18µm
_013_,106.265µm
net52,105.5µm
sine_out_temp0\[15\],104.035µm
net67,103.92µm
sine_out_temp0\[3\],102.67µm
sine_out_temp0\[2\],100.825µm
sine_out_temp0\[4\],100.02µm
_014_,99.92µm
sine_out_temp0\[0\],99.745µm
_001_,99.36µm
sine_out_temp0\[5\],98.265µm
sine_out_temp0\[1\],97.555µm
_015_,97.285µm
net55,93.76µm
net90,91.48µm
net56,91.22µm
net17,89.795µm
_002_,86.44µm
net57,85.64µm
_057_,83.58µm
net83,82.96µm
_011_,80.6µm
_003_,78.825µm
_009_,78.46µm
_010_,77.38µm
_004_,75.42µm
_006_,71.025µm
_005_,68.9µm
net58,65.62µm
_008_,65.48µm
net85,60µm
_052_,57.82µm
_007_,57.78µm
net89,54.44µm
_000_,47.29µm
net18,44.945µm
_042_,43.56µm
net13,43.45µm
net12,43.425µm
net11,42.645µm
net16,42.57µm
_050_,42.54µm
net14,42.09µm
net15,41.99µm
net23,39.27µm
net33,38.99µm
net32,38.73µm
_045_,38.6µm
net22,38.1µm
net31,37.79µm
net30,37.73µm
net21,37.66µm
net25,37.64µm
net24,37.62µm
net20,37.48µm
net34,37.38µm
_047_,35.63µm
net92,35µm
_044_,34.05µm
_046_,31.75µm
_043_,28.91µm
net88,27.76µm
sine_out_temp1\[6\],24.855µm
sine_out_temp1\[7\],23.415µm
sine_out_temp1\[8\],22.895µm
sine_out_temp1\[9\],22.835µm
sine_out_temp1\[10\],22.67µm
_024_,21.68µm
sine_out_temp1\[12\],19.895µm
_032_,19.52µm
sine_out_temp1\[11\],19.45µm
sine_out_temp1\[13\],18.53µm
sine_out_temp1\[14\],17.935µm
_058_,17.7µm
_018_,17.42µm
_031_,16.5µm
sine_out_temp1\[4\],16.32µm
sine_out_temp1\[5\],16.32µm
_034_,15.81µm
sine_out_temp1\[15\],15.575µm
_039_,15.51µm
sine_out_temp1\[3\],15.245µm
sine_out_temp1\[2\],14.265µm
sine_out_temp1\[1\],14.205µm
_037_,14.19µm
_051_,13.84µm
net93,13.68µm
net94,12.52µm
_036_,12.36µm
_029_,12.24µm
_028_,11.51µm
_022_,11.38µm
_030_,11.27µm
_053_,10.74µm
_021_,9.98µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[13],9.64µm
din00[5],9.64µm
din00[6],9.64µm
din00[7],9.64µm
din00[8],9.64µm
addr00[1],9.6µm
addr00[4],9.07µm
addr01[0],9.07µm
din00[2],9.07µm
din01[13],9.07µm
din01[2],9.07µm
din01[7],9.07µm
_054_,9.04µm
din00[4],8.97µm
din00[3],8.73µm
din00[14],8.72µm
din00[15],8.72µm
din00[9],8.72µm
addr00[0],8.39µm
addr00[2],8.39µm
din01[0],8.39µm
din01[4],8.39µm
rst,8.17µm
din01[3],8.05µm
din01[5],8.05µm
addr00[5],7.71µm
addr00[7],7.71µm
din01[14],7.71µm
din01[1],7.71µm
_035_,7.63µm
csb01,7.35µm
sine_out[9],7.23µm
_049_,7.05µm
addr00[3],7.03µm
addr00[6],7.03µm
din00[0],7.03µm
din00[1],7.03µm
din01[10],7.03µm
din01[11],7.03µm
