net,length_um
din01[12],7.03µm
din01[15],7.03µm
din01[8],7.03µm
din01[9],7.03µm
addr01[5],7.01µm
_040_,6.91µm
csb00,6.91µm
din01[6],6.69µm
addr01[3],6.67µm
addr01[7],6.67µm
addr01[1],6.43µm
_025_,6.37µm
sine_out[13],6.21µm
sine_out[8],6.21µm
_019_,5.96µm
_023_,5.96µm
_038_,5.77µm
sine_out[4],5.75µm
addr01[2],5.65µm
addr01[6],5.65µm
_027_,5.55µm
sine_out[10],5.53µm
sine_out[12],5.53µm
sine_out[0],5.41µm
_026_,5.31µm
addr01[4],5.31µm
sine_out[7],5.19µm
sine_out[1],5.07µm
sine_out[2],5.07µm
sine_out[3],5.07µm
sine_out[5],5.07µm
_016_,5.04µm
_048_,4.87µm
sine_out[11],4.85µm
sine_out[14],4.85µm
sine_out[15],4.85µm
sine_out[6],4.85µm
_033_,3.59µm
_020_,2.62µm
_041_,2.5µm
_017_,2.3µm
_055_,2.06µm
_056_,1.94µm
