net,length_um
clknet_2_0__leaf_clk,750.26µm
net69,701.88µm
net72,697.94µm
net70,689.22µm
net71,683.8µm
net68,662.78µm
net81,651.24µm
net73,651.08µm
net82,647.56µm
net80,645.24µm
net75,627.12µm
net78,607.34µm
net74,595.26µm
net88,595.085µm
net79,593.64µm
net76,579.34µm
net83,566.735µm
clk,530.04µm
tcout\[1\],524.39µm
tcout\[0\],512.6µm
net77,510.34µm
tcout\[6\],479.16µm
clknet_2_3__leaf_clk,475.83µm
tcout\[7\],469.87µm
tcout\[5\],467.09µm
tcout\[2\],421.39µm
tcout\[4\],398.61µm
tcout\[3\],376.21µm
clknet_2_2__leaf_clk,360.59µm
net87,289.12µm
clknet_0_clk,287.145µm
clknet_2_1__leaf_clk,286.48µm
net41,241.98µm
net50,229.52µm
net39,224.58µm
net38,215.37µm
net40,214.45µm
net84,211.22µm
net47,209.12µm
net49,207.55µm
net37,203.9µm
_057_,199.01µm
net46,197.52µm
net36,190.15µm
net44,183.76µm
net48,178.2µm
net43,171.47µm
net64,161.88µm
net42,161.1µm
_052_,159.695µm
net45,156.67µm
net9,150.27µm
net63,145.74µm
net10,139.14µm
net54,137.88µm
net60,135.83µm
net35,132.76µm
net61,131.32µm
net66,122.42µm
net59,119.7µm
net52,117.66µm
net65,115.66µm
net53,114.8µm
net67,113.3µm
_003_,112.4µm
_058_,110.24µm
_005_,109.725µm
net62,106µm
_011_,105.72µm
_010_,101µm
net56,98.8µm
_051_,94.26µm
sine_out_temp0\[7\],92.685µm
net58,91.08µm
net55,90.88µm
_015_,90.72µm
_014_,87.26µm
net85,86.84µm
_013_,85.98µm
sine_out_temp0\[9\],79.815µm
_021_,77.08µm
_000_,76.2µm
sine_out_temp0\[15\],76.085µm
sine_out_temp0\[10\],73.91µm
_054_,73.7µm
_001_,73.245µm
sine_out_temp0\[8\],72.755µm
_008_,69.8µm
sine_out_temp0\[3\],69.705µm
_004_,68.72µm
_002_,68.34µm
_050_,66.86µm
_012_,64.48µm
net57,63.68µm
_055_,59.1µm
_007_,58.5µm
sine_out_temp0\[11\],57.09µm
_035_,55µm
sine_out_temp0\[13\],52.215µm
_017_,51.84µm
sine_out_temp0\[6\],51.705µm
net51,48.52µm
tcout\[8\],48.22µm
sine_out_temp0\[4\],46.65µm
net3,45.855µm
_049_,45.62µm
_040_,45.3µm
net7,45.09µm
net18,44.965µm
net5,44.61µm
net13,44.49µm
net12,44.465µm
net8,44.41µm
net17,44.405µm
net11,43.935µm
net16,43.61µm
net15,43.33µm
_046_,43.31µm
_036_,43.27µm
net14,43.13µm
net4,42.885µm
net6,42.23µm
_043_,40.23µm
sine_out_temp0\[1\],39.905µm
net86,39.64µm
_009_,39.43µm
net23,39.27µm
net33,38.99µm
net32,38.73µm
net27,38.56µm
_022_,38.1µm
net22,38.1µm
net26,38.1µm
net31,37.79µm
net29,37.77µm
net2,37.73µm
net30,37.73µm
net21,37.66µm
net25,37.64µm
net24,37.62µm
net19,37.5µm
net20,37.48µm
net28,37.46µm
net34,37.38µm
