net,length_um
_108_,8.88µm
_047_,8.83µm
_166_,8.74µm
din00[3],8.73µm
din00[14],8.72µm
din00[15],8.72µm
din00[9],8.72µm
_191_,8.7µm
net77,8.66µm
_249_,8.62µm
addr00[0],8.39µm
addr00[2],8.39µm
din01[4],8.39µm
din01[6],8.39µm
_202_,8.34µm
_071_,8.32µm
_093_,8.24µm
_234_,8.235µm
denum[0],8.15µm
_127_,8.14µm
_151_,8.12µm
_032_,8.09µm
din01[15],8.05µm
din01[3],8.05µm
_176_,8.015µm
_290_,7.98µm
_101_,7.9µm
num[0],7.81µm
_271_,7.795µm
_266_,7.72µm
addr00[5],7.71µm
addr00[7],7.71µm
din01[14],7.71µm
din01[1],7.71µm
net79,7.68µm
_017_,7.66µm
_061_,7.66µm
_263_,7.66µm
net81,7.5µm
_046_,7.49µm
num[1],7.47µm
csb01,7.35µm
_120_,7.32µm
sine_out[9],7.23µm
_104_,7.18µm
_112_,7.18µm
_124_,7.18µm
net19,7.18µm
_276_,7.14µm
denum[3],7.13µm
rst,7.13µm
_077_,7.06µm
addr00[3],7.03µm
addr00[6],7.03µm
addr01[0],7.03µm
din00[0],7.03µm
din00[1],7.03µm
din01[10],7.03µm
din01[11],7.03µm
din01[12],7.03µm
din01[5],7.03µm
din01[7],7.03µm
din01[8],7.03µm
addr01[5],7.01µm
_180_,7µm
_162_,6.92µm
_041_,6.91µm
csb00,6.91µm
denum[1],6.79µm
net83,6.72µm
din01[2],6.69µm
addr01[3],6.67µm
addr01[7],6.67µm
_233_,6.64µm
num[2],6.45µm
num[3],6.45µm
addr01[1],6.43µm
denum[2],6.43µm
sine_out[13],6.21µm
sine_out[8],6.21µm
_270_,6.18µm
_213_,5.96µm
_145_,5.94µm
_189_,5.94µm
_207_,5.8µm
sine_out[0],5.75µm
sine_out[2],5.75µm
_159_,5.72µm
_257_,5.68µm
_274_,5.66µm
addr01[2],5.65µm
addr01[6],5.65µm
_060_,5.62µm
sine_out[15],5.53µm
_049_,5.45µm
sine_out[1],5.41µm
_177_,5.34µm
addr01[4],5.31µm
_058_,5.28µm
_110_,5.22µm
_198_,5.22µm
_200_,5.22µm
sine_out[11],5.19µm
sine_out[7],5.19µm
_103_,5.12µm
_020_,5.1µm
sine_out[3],5.07µm
sine_out[4],5.07µm
sine_out[5],5.07µm
sine_out[6],5.07µm
_084_,4.94µm
_242_,4.9µm
_212_,4.89µm
_240_,4.88µm
sine_out[10],4.85µm
sine_out[12],4.85µm
sine_out[14],4.85µm
_126_,4.82µm
_182_,4.8µm
_201_,4.8µm
_069_,4.76µm
_070_,4.76µm
_192_,4.68µm
_132_,4.58µm
_100_,4.56µm
_022_,4.48µm
_211_,4.46µm
_109_,4.44µm
_238_,4.44µm
_154_,4.42µm
_255_,4.42µm
_171_,4.365µm
_075_,4.34µm
_076_,4.34µm
_086_,4.34µm
net117,4.32µm
_045_,4.07µm
sine_out_reg1\[12\],4.02µm
_197_,4µm
_269_,4µm
_163_,3.9µm
_165_,3.88µm
_283_,3.78µm
_021_,3.56µm
_078_,3.56µm
_203_,3.56µm
_155_,3.54µm
_252_,3.54µm
_140_,3.435µm
_236_,3.32µm
_204_,3.22µm
_141_,3.18µm
_217_,3.1µm
_019_,3.08µm
_118_,3.08µm
_128_,3.08µm
_081_,2.96µm
_016_,2.74µm
_259_,2.72µm
_194_,2.64µm
_206_,2.64µm
_226_,2.64µm
net85,2.64µm
_221_,2.62µm
_144_,2.5µm
_186_,2.5µm
_193_,2.5µm
_267_,2.5µm
_289_,2.48µm
_122_,2.3µm
_024_,2.28µm
_092_,2.28µm
_082_,2.16µm
_183_,2.16µm
net82,2.16µm
_195_,2.06µm
_241_,2.04µm
_187_,1.865µm
_097_,1.84µm
_278_,1.84µm
_121_,1.82µm
_072_,1.72µm
_235_,1.7µm
_246_,1.7µm
_131_,1.38µm
_042_,1.36µm
_172_,0.46µm
