net,length_um
net89,757.19µm
net88,717.17µm
net90,706.725µm
net87,706.3µm
clknet_0_clk,699.82µm
net98,681.29µm
net91,666.4µm
net92,643.425µm
clk,627.56µm
net97,557.755µm
tcout\[6\],541.93µm
tcout\[7\],541.1µm
tcout\[5\],535.88µm
net93,524µm
clknet_3_4__leaf_clk,514.46µm
tcout\[4\],494.39µm
tcout\[2\],494.22µm
tcout\[0\],489.36µm
clknet_3_3__leaf_clk,484.49µm
sine_out_reg1\[11\],482.28µm
tcout\[3\],456.07µm
net118,441.04µm
net105,396.18µm
net99,357.545µm
net95,337.02µm
net96,334.435µm
net94,324.345µm
sine_out_reg1\[4\],298.98µm
sine_out_temp1\[13\],297.675µm
sine_out_temp1\[4\],292.155µm
net100,280.82µm
clknet_3_5__leaf_clk,270.81µm
sine_out_reg1\[13\],254.24µm
net45,240.64µm
net54,230.55µm
net43,226.42µm
clknet_3_1__leaf_clk,221.91µm
net42,215.17µm
net52,214.68µm
net44,214.65µm
clknet_2_1_0_clk,214.16µm
sine_out_reg1\[14\],212.54µm
net41,207.15µm
sine_out_reg1\[1\],201.92µm
net50,200.53µm
clknet_3_0__leaf_clk,198.97µm
net40,191.19µm
net49,191.16µm
sine_out_reg1\[0\],188.94µm
net53,186.75µm
net7,185.4µm
sine_out_reg1\[15\],181.175µm
net8,179.22µm
clknet_3_6__leaf_clk,177.79µm
net51,175.25µm
net47,174.26µm
net6,169.12µm
net46,164.76µm
net4,160.675µm
net5,160.65µm
net3,158.635µm
net33,157.11µm
clknet_3_2__leaf_clk,156.26µm
net102,156.14µm
net32,154.38µm
clknet_3_7__leaf_clk,153.5µm
net9,152.89µm
net48,152.65µm
net31,146.63µm
clknet_2_3_0_clk,145.435µm
clknet_2_2_0_clk,145.38µm
_056_,143.19µm
net103,142.88µm
net23,142.15µm
net30,140.46µm
net104,138µm
net10,136.03µm
net39,135.21µm
net1,134.73µm
net2,126.75µm
_053_,125.56µm
sine_out_temp1\[11\],123.265µm
net74,121.02µm
net72,119.34µm
_272_,114.06µm
net71,110.96µm
net69,110.14µm
net101,110.06µm
net73,109.06µm
net110,102.91µm
net59,102.58µm
net61,101.84µm
net75,100.46µm
clknet_2_0_0_clk,99.66µm
net113,98.365µm
sine_out_temp0\[13\],92.335µm
net17,89.795µm
_015_,88.88µm
_014_,88.66µm
_013_,86.46µm
_011_,85.34µm
net63,85.06µm
net68,85.06µm
sine_out_reg0\[4\],84.7µm
sine_out_reg0\[13\],83.84µm
net62,83.84µm
sine_out_temp0\[11\],83.835µm
tcout\[8\],83.78µm
net60,83.52µm
net106,82.595µm
sine_out_reg0\[11\],79.7µm
_012_,78.84µm
sine_out_reg0\[14\],77.64µm
net107,76.56µm
sine_out_temp0\[4\],76.555µm
sine_out_reg0\[15\],76.42µm
net78,74.76µm
net70,73.82µm
sine_out_temp0\[1\],73.53µm
_001_,72.62µm
sine_out_reg0\[12\],72.32µm
net112,70.53µm
tcout\[1\],70.5µm
sine_out_temp0\[12\],70.1µm
net116,68.8µm
sine_out_temp0\[9\],68.72µm
net67,68.04µm
sine_out_reg0\[7\],67.24µm
sine_out_temp0\[14\],66.625µm
sine_out_temp0\[15\],64.97µm
net111,64.08µm
sine_out_reg0\[1\],63.18µm
_009_,63.1µm
net109,62.74µm
_117_,62.005µm
net66,61.86µm
sine_out_temp0\[2\],61.825µm
net65,61.34µm
sine_out_temp0\[5\],60.255µm
_230_,59.6µm
sine_out_temp0\[10\],59.25µm
sine_out_reg0\[8\],59.24µm
sine_out_temp0\[8\],57.315µm
sine_out_reg0\[2\],56.62µm
_158_,56.06µm
sine_out_reg0\[10\],55.44µm
_010_,55.18µm
_003_,54.78µm
sine_out_reg0\[0\],54.2µm
sine_out_temp0\[7\],53.34µm
_000_,52.94µm
_055_,52.73µm
_008_,52.1µm
net55,52.1µm
_005_,51.38µm
_115_,50.68µm
net21,50.06µm
sine_out_temp0\[6\],49.61µm
sine_out_reg0\[9\],49.26µm
net64,48.84µm
sine_out_temp0\[0\],48.515µm
_002_,47.66µm
_179_,45.84µm
sine_out_reg1\[9\],45.4µm
net18,44.945µm
sine_out_temp1\[12\],44.735µm
sine_out_reg0\[6\],44.66µm
_050_,44.525µm
sine_out_reg1\[5\],43.66µm
sine_out_reg1\[7\],43.64µm
sine_out_reg0\[3\],43.54µm
net13,43.45µm
net12,43.425µm
net11,42.645µm
_083_,42.57µm
net16,42.57µm
net14,42.09µm
net15,41.99µm
sine_out_reg1\[6\],41.4µm
sine_out_reg1\[8\],41.34µm
sine_out_temp0\[3\],41.15µm
sine_out_reg0\[5\],40.8µm
sine_out_reg1\[10\],39.96µm
_095_,39.58µm
net27,39.27µm
_007_,39.04µm
net37,38.99µm
net36,38.73µm
_113_,38.44µm
net26,38.1µm
net35,37.79µm
net34,37.73µm
net25,37.66µm
net29,37.64µm
net28,37.62µm
_245_,37.48µm
net24,37.48µm
net38,37.38µm
sine_out_temp1\[2\],36.805µm
_222_,36.8µm
_277_,36.3µm
_026_,35.99µm
_096_,35.79µm
_029_,34.75µm
_114_,34.54µm
_006_,33.68µm
sine_out_reg1\[3\],33.52µm
_027_,33.44µm
_025_,33.25µm
net76,32.3µm
sine_out_temp1\[15\],32.065µm
tcout_delay\[0\],31.98µm
net108,31.12µm
_116_,30.9µm
net58,30.56µm
sine_out_temp1\[1\],30.34µm
_030_,30.17µm
_028_,30.13µm
_004_,29.88µm
_107_,29.38µm
_147_,28.2µm
_181_,28.18µm
_031_,27.97µm
_196_,27.39µm
_136_,27.2µm
_218_,26.64µm
net57,26.48µm
_268_,26.34µm
_214_,25.74µm
_167_,25.6µm
_102_,25.06µm
net56,24.76µm
_125_,24.74µm
net84,24.68µm
_149_,24.4µm
_111_,24.38µm
sine_out_temp1\[14\],24.375µm
_199_,23.78µm
_170_,23.56µm
_265_,23.42µm
_210_,23.32µm
sine_out_temp1\[10\],22.67µm
sine_out_temp1\[9\],22.375µm
net20,22.32µm
_098_,22.215µm
_054_,22.04µm
sine_out_temp1\[8\],21.975µm
sine_out_reg1\[2\],21.88µm
sine_out_temp1\[0\],21.72µm
sine_out_temp1\[7\],21.575µm
net22,21.38µm
_185_,21.36µm
_224_,21.32µm
_231_,20.96µm
_051_,20.8µm
net80,20.5µm
_169_,20.245µm
_251_,20.14µm
_244_,20.1µm
_139_,19.68µm
_282_,19.24µm
_227_,19.22µm
_138_,18.92µm
_243_,18.74µm
_105_,18.14µm
_091_,18.12µm
_074_,18.04µm
_063_,17.38µm
_247_,17.16µm
_067_,17.02µm
_188_,16.44µm
_229_,16.32µm
sine_out_temp1\[5\],16.32µm
sine_out_temp1\[6\],16.32µm
_119_,16.28µm
_038_,16.08µm
_143_,16.08µm
_164_,15.84µm
_205_,15.84µm
_148_,15.82µm
_052_,15.8µm
_156_,15.76µm
_208_,15.74µm
_260_,15.64µm
_037_,15.51µm
_085_,15.48µm
_248_,15.36µm
_178_,15.26µm
_190_,15.18µm
_168_,15.16µm
_106_,15.02µm
_018_,14.92µm
_150_,14.9µm
_184_,14.86µm
_094_,14.84µm
_036_,14.7µm
_286_,14.7µm
_040_,14.68µm
_134_,14.66µm
_239_,14.64µm
_216_,14.555µm
tcout_delay\[1\],14.505µm
_129_,14.42µm
_288_,14.42µm
sine_out_temp1\[3\],14.325µm
_253_,14.14µm
_065_,13.9µm
_209_,13.9µm
net114,13.68µm
_173_,13.58µm
_039_,13.21µm
_215_,13.19µm
_059_,13.18µm
_219_,13.16µm
_258_,13.14µm
_225_,13.06µm
_057_,12.92µm
_079_,12.9µm
_099_,12.88µm
_254_,12.74µm
_153_,12.64µm
_066_,12.54µm
net115,12.52µm
_023_,12.32µm
_280_,12.02µm
_152_,11.96µm
_232_,11.76µm
_034_,11.68µm
net86,11.68µm
_175_,11.66µm
_281_,11.5µm
_044_,11.31µm
_048_,11.24µm
_088_,11.16µm
_146_,11.12µm
_174_,11.1µm
_157_,10.92µm
_285_,10.76µm
_130_,10.72µm
_279_,10.68µm
_284_,10.64µm
_087_,10.62µm
_089_,10.62µm
_223_,10.62µm
_033_,10.59µm
_161_,10.56µm
_275_,10.5µm
_261_,10.36µm
_064_,10.28µm
_264_,10.24µm
_123_,10.18µm
_262_,10.16µm
_133_,10.095µm
_142_,10.06µm
_073_,10.04µm
_287_,9.98µm
_035_,9.81µm
_137_,9.76µm
_250_,9.64µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[13],9.64µm
din00[5],9.64µm
din00[6],9.64µm
din00[7],9.64µm
din00[8],9.64µm
addr00[1],9.6µm
_160_,9.54µm
_043_,9.52µm
_228_,9.46µm
_256_,9.42µm
_090_,9.36µm
_080_,9.34µm
_237_,9.24µm
_068_,9.16µm
_135_,9.16µm
_273_,9.08µm
addr00[4],9.07µm
din00[2],9.07µm
din01[0],9.07µm
din01[13],9.07µm
din01[9],9.07µm
_062_,8.98µm
din00[4],8.97µm
_220_,8.895µm
