net,length_um
clknet_3_0__leaf_clk,703.33µm
clknet_0_clk,589.1µm
net104,444.22µm
tcout_delay\[0\],363.94µm
net101,302.19µm
clk,251.32µm
net80,214.49µm
net86,210.14µm
net83,204.2µm
net78,201.69µm
net50,198.42µm
clknet_3_4__leaf_clk,185.48µm
clknet_3_7__leaf_clk,168.41µm
tcout\[8\],122.965µm
_056_,122µm
_053_,104.26µm
clknet_3_3__leaf_clk,94.8µm
net112,92.61µm
tcout\[0\],91.49µm
clknet_3_5__leaf_clk,90.87µm
net95,86.46µm
_272_,85.5µm
net89,84.18µm
net108,80.92µm
net91,80.86µm
clknet_3_2__leaf_clk,78.14µm
net105,77.01µm
net109,75.38µm
net76,73.52µm
net106,73.125µm
net69,67.79µm
net107,66.92µm
clknet_3_1__leaf_clk,66.58µm
net110,66.36µm
_055_,66.22µm
clknet_3_6__leaf_clk,65.59µm
sine_out_temp0\[6\],64.555µm
net111,64.2µm
net102,63.6µm
sine_out_temp0\[1\],61.24µm
sine_out_temp0\[3\],58.57µm
sine_out_temp0\[9\],58.255µm
sine_out_temp0\[0\],54.52µm
sine_out_temp0\[15\],53.685µm
sine_out_temp0\[2\],53.32µm
_158_,53.2µm
sine_out_temp0\[8\],52.895µm
net119,51.84µm
sine_out_temp0\[4\],51.78µm
_230_,50.84µm
net46,50.8µm
sine_out_temp0\[11\],50.785µm
sine_out_temp0\[5\],50.165µm
sine_out_reg0\[2\],49.22µm
sine_out_temp0\[14\],49.045µm
sine_out_temp0\[13\],48.56µm
sine_out_temp0\[7\],48.46µm
tcout_delay\[1\],48.08µm
net74,47.74µm
sine_out_reg0\[7\],46.86µm
_095_,45.48µm
sine_out_reg0\[4\],45.36µm
_277_,44.68µm
sine_out_temp0\[10\],44.545µm
sine_out_reg0\[10\],44.04µm
sine_out_temp0\[12\],43.96µm
net5,43.94µm
_288_,43.88µm
net9,43.6µm
net4,43.34µm
_115_,43.14µm
sine_out_reg0\[8\],43.04µm
net6,43µm
net3,42.92µm
net7,42.92µm
net2,42.32µm
net8,42.32µm
sine_out_reg0\[5\],41.68µm
sine_out_reg0\[6\],41.32µm
_116_,41µm
sine_out_reg0\[1\],40.82µm
net17,40.71µm
net23,39.87µm
net1,39.65µm
_179_,39.6µm
net27,39.53µm
sine_out_reg0\[11\],39.34µm
net16,39.29µm
net21,39.13µm
net42,39.09µm
sine_out_reg0\[12\],39µm
net14,38.99µm
net32,38.83µm
net37,38.67µm
net25,38.55µm
net35,38.5µm
sine_out_reg0\[13\],38.32µm
net15,38.29µm
net20,38.12µm
net34,38.11µm
net44,38.11µm
net41,38.09µm
net33,38.08µm
net28,38.07µm
net40,38.01µm
net29,37.99µm
sine_out_reg0\[0\],37.92µm
net22,37.92µm
net31,37.92µm
net45,37.84µm
net19,37.8µm
net26,37.8µm
net30,37.76µm
net18,37.72µm
net24,37.64µm
net36,37.61µm
net38,37.61µm
net39,37.61µm
net43,37.61µm
_113_,37.54µm
sine_out_reg0\[9\],36.76µm
tcout\[4\],36.4µm
net67,36.2µm
_250_,36.14µm
_050_,35.98µm
net48,35.86µm
net77,35.78µm
_102_,35.18µm
sine_out_reg0\[14\],34.1µm
_096_,33.53µm
tcout\[6\],33.42µm
_245_,33.3µm
sine_out_reg0\[3\],32.88µm
_254_,32.86µm
_117_,32.195µm
sine_out_temp1\[13\],31.73µm
sine_out_temp1\[3\],30.94µm
_196_,30.54µm
sine_out_reg0\[15\],30.42µm
_268_,30µm
sine_out_temp1\[2\],29.805µm
_164_,29.52µm
sine_out_temp1\[4\],29.02µm
net87,29.01µm
sine_out_temp1\[0\],28.045µm
_142_,27.98µm
_136_,27.86µm
sine_out_temp1\[5\],27.84µm
tcout\[7\],27.74µm
net99,27.48µm
sine_out_temp1\[14\],26.945µm
sine_out_temp1\[11\],26.885µm
sine_out_temp1\[15\],26.24µm
_214_,26.08µm
net93,25.9µm
_098_,25.775µm
sine_out_temp1\[1\],25.365µm
_119_,25.26µm
_188_,25.14µm
_224_,24.96µm
sine_out_temp1\[6\],24.92µm
_247_,24.79µm
sine_out_reg1\[10\],24.54µm
_001_,24.1µm
_167_,24.04µm
_173_,24µm
_046_,23.97µm
sine_out_temp1\[7\],23.76µm
sine_out_reg1\[7\],23.62µm
_047_,23.53µm
net103,23.52µm
_107_,23.46µm
sine_out_reg1\[12\],23.42µm
net90,23.42µm
sine_out_temp1\[8\],23.345µm
sine_out_temp1\[12\],23.295µm
_048_,23.19µm
_222_,23.08µm
_169_,23.005µm
_030_,22.79µm
_147_,22.76µm
tcout\[3\],22.66µm
_083_,22.48µm
_045_,22.19µm
sine_out_reg1\[15\],22.1µm
sine_out_temp1\[9\],21.515µm
sine_out_reg1\[9\],21.44µm
_028_,21.41µm
sine_out_temp1\[10\],21.405µm
_032_,21.17µm
_014_,20.8µm
_009_,20.66µm
_282_,20.62µm
_026_,20.47µm
sine_out_reg1\[11\],20.46µm
_006_,20.38µm
sine_out_reg1\[8\],20.06µm
_049_,20µm
_040_,19.99µm
_044_,19.91µm
_091_,19.83µm
tcout\[5\],19.74µm
tcout\[2\],19.7µm
_043_,19.2µm
_052_,19.14µm
_271_,19.045µm
_219_,18.96µm
_229_,18.82µm
denum[2],18.77µm
_017_,18.66µm
_004_,18.46µm
_035_,18.29µm
_205_,18.14µm
_003_,18.12µm
_000_,17.9µm
_024_,17.72µm
_267_,17.7µm
net61,17.64µm
_037_,17.47µm
_022_,17.26µm
sine_out_reg1\[14\],17.1µm
_244_,17.06µm
_289_,17µm
_149_,16.98µm
_265_,16.835µm
_016_,16.8µm
_029_,16.75µm
tcout\[1\],16.72µm
_051_,16.7µm
_013_,16.66µm
_185_,16.6µm
_038_,16.45µm
_025_,16.41µm
_218_,16.34µm
sine_out[11],16.22µm
net79,16.14µm
denum[0],16µm
_239_,15.84µm
net96,15.82µm
_148_,15.76µm
_111_,15.68µm
net11,15.66µm
_007_,15.54µm
_125_,15.52µm
_143_,15.44µm
sine_out_reg1\[1\],15.42µm
net51,15.42µm
net71,15.4µm
_034_,15.32µm
_168_,15.075µm
sine_out_reg1\[6\],15.04µm
_020_,15µm
_124_,14.96µm
_005_,14.94µm
net12,14.8µm
_225_,14.72µm
_284_,14.72µm
net117,14.63µm
_041_,14.56µm
_190_,14.52µm
_151_,14.4µm
_156_,14.24µm
_011_,14.04µm
_243_,14.04µm
net114,14.04µm
net65,14.04µm
net115,13.99µm
_074_,13.94µm
_223_,13.92µm
_150_,13.84µm
_068_,13.76µm
sine_out_reg1\[4\],13.72µm
net116,13.59µm
net100,13.54µm
sine_out[1],13.52µm
_231_,13.48µm
_227_,13.4µm
_090_,13.38µm
din01[14],13.3µm
_027_,13.25µm
net118,13.13µm
net59,13.08µm
_134_,13.06µm
_089_,13µm
_199_,13µm
_042_,12.92µm
_105_,12.84µm
_015_,12.82µm
_175_,12.82µm
rst,12.7µm
net113,12.68µm
_174_,12.63µm
_280_,12.62µm
sine_out[0],12.6µm
net85,12.46µm
_181_,12.38µm
_137_,12.28µm
_209_,12.205µm
sine_out[12],12.02µm
sine_out[15],12.02µm
net92,11.96µm
net88,11.94µm
_060_,11.9µm
sine_out_reg1\[2\],11.9µm
_079_,11.85µm
sine_out_reg1\[13\],11.84µm
_170_,11.76µm
denum[3],11.67µm
_258_,11.665µm
sine_out[10],11.56µm
sine_out[13],11.56µm
sine_out[14],11.56µm
sine_out[9],11.56µm
_033_,11.53µm
_012_,11.3µm
net63,11.24µm
sine_out[2],11.22µm
sine_out[3],11.22µm
sine_out[4],11.22µm
sine_out[5],11.22µm
sine_out[6],11.22µm
sine_out[7],11.22µm
sine_out[8],11.22µm
_054_,11.14µm
_114_,11.08µm
_002_,10.98µm
_184_,10.96µm
net13,10.96µm
_251_,10.94µm
_080_,10.92µm
_018_,10.9µm
_064_,10.88µm
_077_,10.88µm
_290_,10.78µm
_237_,10.76µm
sine_out_reg1\[5\],10.68µm
_106_,10.66µm
_208_,10.62µm
_281_,10.62µm
_067_,10.58µm
_031_,10.49µm
_039_,10.41µm
_178_,10.34µm
net54,10.34µm
_189_,10.28µm
sine_out_reg1\[0\],10.1µm
_144_,9.95µm
_036_,9.94µm
_163_,9.88µm
net56,9.86µm
net66,9.86µm
_153_,9.74µm
_085_,9.72µm
_129_,9.72µm
_104_,9.7µm
addr00[0],9.64µm
din00[0],9.64µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[14],9.64µm
din00[15],9.64µm
din00[1],9.64µm
din00[4],9.64µm
din00[5],9.64µm
din00[7],9.64µm
din00[9],9.64µm
din01[0],9.64µm
din01[10],9.64µm
din01[11],9.64µm
din01[15],9.64µm
din01[1],9.64µm
din01[3],9.64µm
din01[5],9.64µm
din01[6],9.64µm
_220_,9.62µm
_259_,9.56µm
_073_,9.54µm
_171_,9.365µm
_216_,9.36µm
_072_,9.2µm
_108_,9.04µm
num[0],9.03µm
_061_,9.02µm
net84,8.82µm
din00[13],8.72µm
din00[2],8.72µm
din00[3],8.72µm
din00[6],8.72µm
din00[8],8.72µm
din01[12],8.72µm
din01[13],8.72µm
din01[2],8.72µm
din01[4],8.72µm
din01[7],8.72µm
din01[8],8.72µm
din01[9],8.72µm
_191_,8.68µm
_286_,8.62µm
_087_,8.34µm
_071_,8.32µm
_130_,8.32µm
net82,8.32µm
_088_,8.26µm
_157_,8.24µm
_273_,8.16µm
_278_,8.16µm
_103_,8.14µm
_057_,8.1µm
_246_,8.1µm
net57,8.1µm
net120,8.1µm
net64,8.06µm
_133_,8.04µm
net10,7.98µm
net53,7.94µm
_066_,7.9µm
_021_,7.86µm
_086_,7.78µm
_093_,7.78µm
_248_,7.78µm
_008_,7.7µm
_063_,7.66µm
_138_,7.66µm
_123_,7.64µm
_264_,7.64µm
_019_,7.6µm
net55,7.6µm
net60,7.6µm
_141_,7.56µm
_058_,7.52µm
_236_,7.52µm
_094_,7.4µm
_263_,7.32µm
_234_,7.265µm
_232_,7.18µm
denum[1],7.18µm
net62,7.14µm
_207_,7.06µm
addr00[2],7.01µm
addr00[6],7.01µm
csb00,7.01µm
_287_,7µm
_122_,6.98µm
_140_,6.975µm
_023_,6.84µm
net73,6.82µm
sine_out_reg1\[3\],6.78µm
net49,6.76µm
_161_,6.745µm
net94,6.74µm
addr00[4],6.67µm
_076_,6.64µm
_213_,6.64µm
_253_,6.64µm
_221_,6.6µm
_233_,6.6µm
_262_,6.6µm
_101_,6.5µm
_182_,6.5µm
net70,6.5µm
_152_,6.42µm
addr00[1],6.33µm
addr00[5],6.33µm
num[1],6.33µm
_211_,6.32µm
_131_,6.26µm
_240_,6.26µm
_252_,6.26µm
net58,6.26µm
_078_,6.14µm
_242_,6.08µm
_097_,6.02µm
addr00[3],5.99µm
_065_,5.94µm
_275_,5.94µm
_255_,5.92µm
_187_,5.845µm
_202_,5.8µm
_109_,5.72µm
_192_,5.72µm
_145_,5.68µm
_195_,5.68µm
_276_,5.66µm
addr00[7],5.65µm
_059_,5.62µm
_260_,5.5µm
_228_,5.46µm
num[2],5.46µm
_010_,5.4µm
_132_,5.38µm
_238_,5.34µm
net52,5.34µm
net72,5.34µm
num[3],5.31µm
_160_,5.26µm
_215_,5.26µm
_285_,5.22µm
net47,5.22µm
_269_,4.92µm
_099_,4.9µm
_266_,4.88µm
net68,4.88µm
_204_,4.8µm
_176_,4.68µm
_180_,4.66µm
_206_,4.48µm
_110_,4.46µm
_201_,4.46µm
_183_,4.34µm
_166_,4.14µm
_146_,4µm
_194_,4µm
_256_,3.98µm
_120_,3.9µm
_121_,3.88µm
_126_,3.88µm
_210_,3.88µm
_274_,3.84µm
_062_,3.76µm
_159_,3.68µm
_070_,3.66µm
_127_,3.66µm
_100_,3.64µm
_081_,3.56µm
_112_,3.56µm
_154_,3.56µm
_177_,3.54µm
_249_,3.44µm
net75,3.42µm
net81,3.42µm
_069_,3.32µm
_162_,3.22µm
_261_,3.08µm
_186_,2.96µm
net121,2.96µm
_075_,2.76µm
_155_,2.76µm
_279_,2.73µm
_118_,2.62µm
_128_,2.62µm
_212_,2.52µm
_082_,2.5µm
_197_,2.5µm
_198_,2.5µm
_270_,2.5µm
_092_,2.06µm
_084_,2.04µm
_193_,2.04µm
_283_,1.94µm
_135_,1.7µm
_235_,1.7µm
_257_,1.7µm
_139_,1.6µm
_217_,1.48µm
_165_,1.26µm
_241_,1.14µm
_226_,1.02µm
_172_,0.92µm
_203_,0.92µm
_200_,0.46µm
